Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
HARBOUR VIEW GARDENS,"1,182,000",645.84,"1,830",01 Apr 2018,221 PASIR PANJANG ROAD #05-06,New Sale,Strata,60,"19,700",-,Apartment,1,Freehold,Uncompleted,N.A,118582,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,220,000",688.9,"1,771",01 Apr 2018,221 PASIR PANJANG ROAD #04-05,New Sale,Strata,64,"19,063",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,675,000","1,001.05","1,673",01 Apr 2018,221 PASIR PANJANG ROAD #04-03,New Sale,Strata,93,"18,011",-,Apartment,1,Freehold,Uncompleted,Private,118582,05,11,Central Region,Queenstown
SEASIDE RESIDENCES,"983,000",505.91,"1,943",01 Apr 2018,12 SIGLAP LINK #24-13,New Sale,Strata,47,"20,915",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448870,15,44,East Region,Bedok
HARBOUR VIEW GARDENS,"1,715,000","1,001.05","1,713",01 Apr 2018,221 PASIR PANJANG ROAD #05-03,New Sale,Strata,93,"18,441",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
SEASIDE RESIDENCES,"2,164,000","1,323.97","1,634",01 Apr 2018,12 SIGLAP LINK #01-09,New Sale,Strata,123,"17,593",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448870,15,44,East Region,Bedok
HARBOUR VIEW GARDENS,"1,147,000",645.84,"1,776",01 Apr 2018,221 PASIR PANJANG ROAD #04-06,New Sale,Strata,60,"19,117",-,Apartment,1,Freehold,Uncompleted,N.A,118582,05,11,Central Region,Queenstown
NIM COLLECTION,"2,880,000","2,120.51","1,358",01 Apr 2018,26 NIM RISE,New Sale,Land,197,"14,619",-,Terrace House,1,99 yrs from 13/10/2016,Uncompleted,Private,804463,28,80,North East Region,Serangoon
HARBOUR VIEW GARDENS,"1,235,000",688.9,"1,793",01 Apr 2018,221 PASIR PANJANG ROAD #05-05,New Sale,Strata,64,"19,297",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
SEASIDE RESIDENCES,"1,819,000","1,130.22","1,609",01 Apr 2018,10 SIGLAP LINK #07-01,New Sale,Strata,105,"17,324",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448869,15,44,East Region,Bedok
HARBOUR VIEW GARDENS,"1,135,000",635.08,"1,787",01 Apr 2018,221 PASIR PANJANG ROAD #01-04,New Sale,Strata,59,"19,237",-,Apartment,1,Freehold,Uncompleted,Private,118582,05,11,Central Region,Queenstown
KINGSFORD WATERBAY,"1,003,000",688.9,"1,456",01 Apr 2018,66 UPPER SERANGOON VIEW #04-13,New Sale,Strata,64,"15,672",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533885,19,53,North East Region,Hougang
NIM COLLECTION,"2,780,000","1,614.6","1,722",01 Apr 2018,16 NIM RISE,New Sale,Land,150,"18,533",-,Terrace House,1,99 yrs from 13/10/2016,Uncompleted,Private,804458,28,80,North East Region,Serangoon
THOMSON GRAND,"1,850,000","1,367.03","1,353",02 Apr 2018,21 SIN MING WALK #16-12,Resale,Strata,127,"14,567",-,Condominium,1,99 yrs from 08/02/2010,2015,Private,573915,20,57,Central Region,Bishan
THE SPRINGSIDE,"2,816,000","1,679.18","1,677",02 Apr 2018,157 SPRINGSIDE VIEW,Resale,Land,156,"18,051",-,Terrace House,1,Freehold,2016,HDB,786108,26,78,North Region,Yishun
THE BEACON,"1,388,888","1,044.11","1,330",02 Apr 2018,130 CANTONMENT ROAD #22-05,Resale,Strata,97,"14,318",-,Apartment,1,99 yrs from 05/03/2004,2008,HDB,089775,02,08,Central Region,Bukit Merah
TEACHER'S HOUSING ESTATE,"2,180,000","1,804.05","1,208",02 Apr 2018,41 TAGORE AVENUE,Resale,Land,167.6,"13,007",-,Terrace House,1,999 yrs from 02/12/1885,-,Private,787663,26,78,North East Region,Ang Mo Kio
PALMWOODS,"850,000","1,097.93",774,02 Apr 2018,450 UPPER CHANGI ROAD #02-10,Resale,Strata,102,"8,333",-,Condominium,1,99 yrs from 12/06/1996,1999,HDB,487040,16,48,East Region,Bedok
BARTLEY RESIDENCES,"1,150,000",871.88,"1,319",02 Apr 2018,5 LORONG HOW SUN #13-28,Resale,Strata,81,"14,198",-,Apartment,1,99 yrs from 29/06/2011,2015,Private,536562,19,53,North East Region,Serangoon
MON JERVOIS,"3,400,000","1,388.56","2,449",02 Apr 2018,41 JERVOIS ROAD #02-08,Resale,Strata,129,"26,357",-,Condominium,1,99 yrs from 07/05/2012,2016,Private,249094,10,24,Central Region,Tanglin
THE PALETTE,"928,000",871.88,"1,064",02 Apr 2018,115 PASIR RIS GROVE #11-47,Resale,Strata,81,"11,457",-,Condominium,1,99 yrs from 20/10/2010,2015,HDB,518172,18,51,East Region,Pasir Ris
DE ROYALE,"1,400,000","1,054.87","1,327",02 Apr 2018,31 JALAN RAMA RAMA #02-01,Resale,Strata,98,"14,286",-,Condominium,1,Freehold,2006,Private,329111,12,32,Central Region,Novena
N.A.,"3,600,000","3,332.53","1,080",02 Apr 2018,559 UPPER CHANGI ROAD,Resale,Land,309.6,"11,628",-,Semi-Detached House,1,Freehold,1985,Private,486988,16,48,East Region,Tampines
SOLEIL @ SINARAN,"2,750,000","1,463.9","1,879",02 Apr 2018,6 SINARAN DRIVE #29-12,Resale,Strata,136,"20,221",-,Condominium,1,99 yrs from 23/10/2006,2011,Private,307468,11,30,Central Region,Novena
REGENTVILLE,"1,130,000","2,077.45",544,02 Apr 2018,10 HOUGANG STREET 92 #14-02,Resale,Strata,193,"5,855",-,Apartment,1,99 yrs from 24/04/1996,1999,Private,538687,19,53,North East Region,Hougang
THE COAST AT SENTOSA COVE,"3,150,000","2,023.63","1,557",02 Apr 2018,278 OCEAN DRIVE #02-14,Resale,Strata,188,"16,755",-,Condominium,1,99 yrs from 11/04/2006,2009,Private,098450,04,09,Central Region,Southern Islands
BIJOU,"1,065,000",570.49,"1,856",02 Apr 2018,2 JALAN MAT JAMBOL #02-10,New Sale,Strata,53,"19,982","1,059,048",Apartment,1,Freehold,Uncompleted,Private,119554,05,11,Central Region,Queenstown
GOODWILL COURT,"1,950,000","2,497.25",781,02 Apr 2018,79A UPPER EAST COAST ROAD,Resale,Strata,232,"8,405",-,Apartment,1,Freehold,1983,Private,455219,15,45,East Region,Bedok
EVERGREEN PARK,"835,000","1,248.62",669,02 Apr 2018,37 HOUGANG AVENUE 7 #09-06,Resale,Strata,116,"7,198",-,Apartment,1,99 yrs from 01/10/1995,1999,HDB,538803,19,53,North East Region,Hougang
RIVERSAILS,"950,000",947.23,"1,003",02 Apr 2018,20 UPPER SERANGOON CRESCENT #08-51,Resale,Strata,88,"10,795",-,Condominium,1,99 yrs from 07/12/2011,2016,Private,534026,19,53,North East Region,Hougang
SENNETT ESTATE,"2,880,000","2,328.25","1,237",02 Apr 2018,45 WAN THO AVENUE,Resale,Land,216.3,"13,315",-,Terrace House,1,Freehold,1955,Private,347587,13,34,Central Region,Toa Payoh
PEAKVIEW ESTATE,"3,120,000","3,297.01",946,02 Apr 2018,3 JALAN PARI KIKIS,Resale,Land,306.3,"10,186",-,Semi-Detached House,1,Freehold,-,HDB,488529,16,48,East Region,Bedok
76 SHENTON,"1,180,000",592.02,"1,993",02 Apr 2018,76 SHENTON WAY #21-01,Resale,Strata,55,"21,455",-,Apartment,1,99 yrs from 12/04/2007,2014,HDB,079119,02,07,Central Region,Downtown Core
THE CLEMENT CANOPY,"1,489,000",990.29,"1,504",02 Apr 2018,16 CLEMENTI AVENUE 1 #37-02,New Sale,Strata,92,"16,185",-,Apartment,1,99 yrs from 09/03/2016,Uncompleted,Private,129960,05,12,West Region,Clementi
SEA ESTA,"1,208,000","1,119.46","1,079",02 Apr 2018,28 PASIR RIS LINK #06-24,Resale,Strata,104,"11,615",-,Condominium,1,99 yrs from 09/01/2012,2015,HDB,518146,18,51,East Region,Pasir Ris
N.A.,"3,100,000","1,764.22","1,757",02 Apr 2018,136H EVERITT ROAD,Resale,Land,163.9,"18,914",-,Terrace House,1,Freehold,1997,HDB,428668,15,42,Central Region,Marine Parade
SKYSUITES@ANSON,"1,380,000",667.37,"2,068",02 Apr 2018,8 ENGGOR STREET #27-07,Resale,Strata,62,"22,258",-,Apartment,1,99 yrs from 18/02/2008,2014,Private,079718,02,07,Central Region,Downtown Core
PRIME RESIDENCE,"555,000",409.03,"1,357",02 Apr 2018,41 LORONG 22 GEYLANG #02-06,Resale,Strata,38,"14,605",-,Apartment,1,Freehold,2014,HDB,398697,14,39,Central Region,Geylang
N.A.,"3,820,000","2,500.48","1,528",02 Apr 2018,17 BEDOK AVENUE,Resale,Land,232.3,"16,444",-,Semi-Detached House,1,Freehold,1997,Private,469928,16,46,East Region,Bedok
SHAMROCK PARK,"4,500,000","2,214.15","2,032",02 Apr 2018,36 NAMLY PLACE,Resale,Land,205.7,"21,877",-,Terrace House,1,Freehold,-,Private,267180,10,26,Central Region,Bukit Timah
MARINA ONE RESIDENCES,"2,796,510","1,140.98","2,451",02 Apr 2018,21 MARINA WAY #23-02,New Sale,Strata,106,"26,382",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
SEA ESTA,"815,000",818.06,996,02 Apr 2018,20 PASIR RIS LINK #04-09,Resale,Strata,76,"10,724",-,Condominium,1,99 yrs from 09/01/2012,2015,Private,518157,18,51,East Region,Pasir Ris
THE LENOX,"955,000",839.59,"1,137",02 Apr 2018,398 CHANGI ROAD #05-11,Resale,Strata,78,"12,244",-,Apartment,1,Freehold,2014,Private,419845,14,41,East Region,Bedok
THE TAPESTRY,"875,610",602.78,"1,453",02 Apr 2018,51 TAMPINES STREET 86 #08-10,New Sale,Strata,56,"15,636",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528539,18,52,East Region,Tampines
ASCENTIA SKY,"1,700,000",947.23,"1,795",02 Apr 2018,3 ALEXANDRA VIEW #29-09,Resale,Strata,88,"19,318",-,Condominium,1,99 yrs from 26/03/2008,2013,Private,158749,03,15,Central Region,Bukit Merah
THOMSON GRAND,"2,180,000","1,689.95","1,290",02 Apr 2018,25 SIN MING WALK #09-15,Resale,Strata,157,"13,885",-,Condominium,1,99 yrs from 08/02/2010,2015,Private,573917,20,57,Central Region,Bishan
D'MIRA,"1,300,000",968.76,"1,342",02 Apr 2018,31 BOON TECK ROAD #17-04,Resale,Strata,90,"14,444",-,Apartment,1,Freehold,2012,Private,329602,12,32,Central Region,Novena
SILVERSCAPE,"700,000",559.73,"1,251",02 Apr 2018,39 LORONG 32 GEYLANG #06-02,Resale,Strata,52,"13,462",-,Apartment,1,Freehold,2015,Private,398299,14,39,Central Region,Geylang
THE BAYSHORE,"960,000",979.52,980,02 Apr 2018,22 BAYSHORE ROAD #25-05,Resale,Strata,91,"10,549",-,Condominium,1,99 yrs from 31/05/1993,1996,Private,469970,16,46,East Region,Bedok
N.A.,"3,530,000","2,757.74","1,280",02 Apr 2018,19B RECREATION ROAD,Resale,Land,256.2,"13,778",-,Terrace House,1,Freehold,2002,Private,546542,19,54,North East Region,Serangoon
NIM COLLECTION,"2,762,000","1,969.81","1,402",02 Apr 2018,23 NIM RISE,New Sale,Land,183,"15,093",-,Terrace House,1,99 yrs from 13/10/2016,Uncompleted,Private,804431,28,80,North East Region,Serangoon
THE NAVIAN,"1,528,000",925.7,"1,651",02 Apr 2018,178 JALAN EUNOS #05-10,New Sale,Strata,86,"17,767",-,Apartment,1,Freehold,Uncompleted,HDB,419530,14,41,East Region,Bedok
THE GARDENS AT BISHAN,"790,000",947.23,834,02 Apr 2018,9 SIN MING WALK #01-07,Resale,Strata,88,"8,977",-,Condominium,1,99 yrs from 22/03/1997,2004,HDB,575578,20,57,Central Region,Bishan
HUME PARK II,"1,250,000","1,130.22","1,106",02 Apr 2018,19 HUME AVENUE #05-01,Resale,Strata,105,"11,905",-,Condominium,1,Freehold,1997,Private,598727,21,59,West Region,Bukit Batok
MERGUI MANSIONS,"1,450,000","1,431.61","1,013",02 Apr 2018,81 MERGUI ROAD #02-04,Resale,Strata,133,"10,902",-,Apartment,1,Freehold,1995,HDB,219057,08,21,Central Region,Kallang
CONCOURSE SKYLINE,"2,700,000","1,334.74","2,023",02 Apr 2018,296 BEACH ROAD #23-03,Resale,Strata,124,"21,774",-,Apartment,1,99 yrs from 13/03/2008,2014,HDB,199599,07,19,Central Region,Kallang
GLOUCESTER MANSIONS,"3,028,000","2,045.16","1,481",02 Apr 2018,10 NEWTON ROAD #15-01,Resale,Strata,190,"15,937",-,Apartment,1,Freehold,1999,Private,307947,11,30,Central Region,Novena
MARINA ONE RESIDENCES,"2,651,223","1,130.22","2,346",02 Apr 2018,21 MARINA WAY #25-01,New Sale,Strata,105,"25,250",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
NV RESIDENCES,"765,000",742.72,"1,030",02 Apr 2018,83 PASIR RIS GROVE #12-05,Resale,Strata,69,"11,087",-,Condominium,1,99 yrs from 07/01/2008,2013,HDB,518211,18,51,East Region,Pasir Ris
PARKSHORE,"2,000,000","1,334.74","1,498",02 Apr 2018,201 TANJONG RHU ROAD #08-14,Resale,Strata,124,"16,129",-,Condominium,1,Freehold,1995,Private,436917,15,43,Central Region,Kallang
WATERFALL GARDENS,"3,200,000","2,195.86","1,457",02 Apr 2018,12 FARRER ROAD #01-10,Resale,Strata,204,"15,686",-,Condominium,1,Freehold,2010,HDB,268824,10,26,Central Region,Tanglin
SEASIDE RESIDENCES,"1,909,000","1,087.16","1,756",02 Apr 2018,18 SIGLAP LINK #14-31,New Sale,Strata,101,"18,901",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,N.A,448873,15,44,East Region,Bedok
38 JERVOIS,"1,119,261",473.62,"2,363",02 Apr 2018,38 JERVOIS ROAD #02-03,New Sale,Strata,44,"25,438",-,Apartment,1,Freehold,Uncompleted,Private,249078,10,24,Central Region,Tanglin
PARC CENTROS,"1,725,000","1,711.48","1,008",02 Apr 2018,92 PUNGGOL CENTRAL #16-28,Resale,Strata,159,"10,849",-,Condominium,1,99 yrs from 19/03/2012,2016,HDB,828723,19,82,North East Region,Punggol
CASTLE GREEN,"820,000",947.23,866,02 Apr 2018,483 YIO CHU KANG ROAD #08-01,Resale,Strata,88,"9,318",-,Condominium,1,99 yrs from 01/12/1993,1997,HDB,787057,26,78,North East Region,Ang Mo Kio
PARK INFINIA AT WEE NAM,"2,880,000","1,334.74","2,158",02 Apr 2018,6A LINCOLN ROAD #30-14,Resale,Strata,124,"23,226",-,Condominium,1,Freehold,2008,HDB,308366,11,30,Central Region,Novena
THE LAKEFRONT RESIDENCES,"930,000",764.24,"1,217",02 Apr 2018,48 LAKESIDE DRIVE #12-37,Resale,Strata,71,"13,099",-,Condominium,1,99 yrs from 03/08/2010,2014,Private,648305,22,64,West Region,Jurong West
PARKVIEW APARTMENTS,"820,000","1,119.46",732,02 Apr 2018,3 BUKIT BATOK STREET 25 #08-02,Resale,Strata,104,"7,885",-,Apartment,1,99 yrs from 01/05/1994,1998,Private,658881,23,65,West Region,Bukit Batok
MARINA ONE RESIDENCES,"3,081,690","1,216.33","2,534",02 Apr 2018,21 MARINA WAY #27-02,New Sale,Strata,113,"27,272",-,Apartment,1,99 yrs from 01/07/2011,2017,Private,018978,01,01,Central Region,Downtown Core
CHANGI GREEN,"1,430,000","1,431.61",999,02 Apr 2018,712 UPPER CHANGI ROAD EAST #04-09,Resale,Strata,133,"10,752",-,Condominium,1,Freehold,1998,HDB,486842,16,48,East Region,Tampines
SOUTHAVEN II,"1,700,000","1,539.25","1,104",02 Apr 2018,31 HINDHEDE WALK #08-03,Resale,Strata,143,"11,888",-,Condominium,1,999 yrs from 21/06/1877,1999,Private,587967,21,58,West Region,Bukit Panjang
IDYLLIC EAST,"1,385,000","1,151.75","1,203",02 Apr 2018,576 UPPER EAST COAST ROAD #02-05,Resale,Strata,107,"12,944",-,Apartment,1,Freehold,2010,Private,466588,16,46,East Region,Bedok
FLO RESIDENCE,"880,000",925.7,951,02 Apr 2018,3 PUNGGOL FIELD WALK #14-06,Resale,Strata,86,"10,233",-,Condominium,1,99 yrs from 05/12/2011,2016,HDB,828740,19,82,North East Region,Punggol
HIGHLAND ROW,"2,550,000","1,626.44","1,568",02 Apr 2018,46 SIRAT ROAD,Resale,Land,151.1,"16,876",-,Terrace House,1,Freehold,1990,Private,545799,19,54,North East Region,Hougang
EDELWEISS PARK CONDOMINIUM,"930,000","1,280.92",726,02 Apr 2018,94 FLORA ROAD #03-44,Resale,Strata,119,"7,815",-,Condominium,1,Freehold,2006,HDB,507006,17,50,East Region,Pasir Ris
LIVIA,"1,050,000","1,259.39",834,02 Apr 2018,75 PASIR RIS GROVE #13-31,Resale,Strata,117,"8,974",-,Condominium,1,99 yrs from 07/01/2008,2011,HDB,518207,18,51,East Region,Pasir Ris
SKYSUITES@ANSON,"2,306,000",958,"2,407",02 Apr 2018,8 ENGGOR STREET #69-01,Resale,Strata,89,"25,910",-,Apartment,1,99 yrs from 18/02/2008,2014,HDB,079718,02,07,Central Region,Downtown Core
FREESIA WOODS,"1,750,000","1,431.61","1,222",02 Apr 2018,63 SUNSET WAY #02-12,Resale,Strata,133,"13,158",-,Condominium,1,Freehold,2003,Private,597088,21,59,West Region,Clementi
THE LAKEFRONT RESIDENCES,"1,170,000","1,001.05","1,169",02 Apr 2018,42 LAKESIDE DRIVE #06-04,Resale,Strata,93,"12,581",-,Condominium,1,99 yrs from 03/08/2010,2014,Private,648322,22,64,West Region,Jurong West
SEASONS PARK,"878,000","1,065.64",824,02 Apr 2018,499 YIO CHU KANG ROAD #09-04,Resale,Strata,99,"8,869",-,Condominium,1,99 yrs from 01/03/1995,1997,Private,787082,26,78,North East Region,Ang Mo Kio
N.A.,"2,500,000","1,781.44","1,403",02 Apr 2018,31 ENG KONG PLACE,Resale,Land,165.5,"15,106",-,Terrace House,1,Freehold,-,HDB,599108,21,59,Central Region,Bukit Timah
THE LAKESHORE,"1,900,000","1,926.76",986,02 Apr 2018,31 JURONG WEST STREET 41 #16-28,Resale,Strata,179,"10,615",-,Condominium,1,99 yrs from 22/11/2002,2007,Private,649412,22,64,West Region,Jurong West
CARIBBEAN AT KEPPEL BAY,"1,950,000","1,227.1","1,589",02 Apr 2018,42 KEPPEL BAY DRIVE #04-107,Resale,Strata,114,"17,105",-,Condominium,1,99 yrs from 16/08/1999,2004,Private,098656,04,09,Central Region,Bukit Merah
SUMMER GARDENS,"1,950,000","3,024.68",645,02 Apr 2018,47 UPPER CHANGI ROAD EAST,Resale,Strata,281,"6,940",-,Terrace House,1,99 yrs from 23/06/1995,1999,HDB,486902,16,48,East Region,Bedok
SKYSUITES@ANSON,"938,000",365.98,"2,563",02 Apr 2018,8 ENGGOR STREET #16-01,Resale,Strata,34,"27,588",-,Apartment,1,99 yrs from 18/02/2008,2014,Private,079718,02,07,Central Region,Downtown Core
RAFFLESIA CONDOMINIUM,"1,100,000",914.94,"1,202",02 Apr 2018,33 BISHAN STREET 21 #17-12,Resale,Strata,85,"12,941",-,Condominium,1,99 yrs from 18/07/1997,2003,HDB,579801,20,57,Central Region,Bishan
N.A.,"2,250,000","1,490.81","1,509",02 Apr 2018,14 JALAN MAS PUTEH,Resale,Land,138.5,"16,245",-,Terrace House,1,Freehold,-,HDB,128619,05,12,West Region,Clementi
