Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
KINGSFORD WATERBAY,"987,000",688.9,"1,433",01 Apr 2018,70 UPPER SERANGOON VIEW #02-31,New Sale,Strata,64,"15,422",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533883,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,208,000",893.41,"1,352",01 Apr 2018,66 UPPER SERANGOON VIEW #07-16,New Sale,Strata,83,"14,554",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,HDB,533885,19,53,North East Region,Hougang
HARBOUR VIEW GARDENS,"1,069,000",602.78,"1,773",01 Apr 2018,223 PASIR PANJANG ROAD #03-12,New Sale,Strata,56,"19,089",-,Apartment,1,Freehold,Uncompleted,Private,118584,05,11,Central Region,Queenstown
THE TAPESTRY,"796,800",602.78,"1,322",01 Apr 2018,51 TAMPINES STREET 86 #05-04,New Sale,Strata,56,"14,229",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,HDB,528539,18,52,East Region,Tampines
THE TAPESTRY,"1,421,600","1,130.22","1,258",01 Apr 2018,63 TAMPINES STREET 86 #08-52,New Sale,Strata,105,"13,539",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,N.A,528511,18,52,East Region,Tampines
HARBOUR VIEW GARDENS,"1,216,000",678.13,"1,793",01 Apr 2018,223 PASIR PANJANG ROAD #05-10,New Sale,Strata,63,"19,302",-,Apartment,1,Freehold,Uncompleted,HDB,118584,05,11,Central Region,Queenstown
GRANDEUR PARK RESIDENCES,"1,688,000","1,130.22","1,494",01 Apr 2018,9 BEDOK SOUTH AVENUE 3 #01-37,New Sale,Strata,105,"16,076",-,Condominium,1,99 yrs from 25/05/2016,Uncompleted,N.A,465465,16,46,East Region,Bedok
SEASIDE RESIDENCES,"1,005,000",592.02,"1,698",01 Apr 2018,18 SIGLAP LINK #07-30,New Sale,Strata,55,"18,273",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,HDB,448873,15,44,East Region,Bedok
NORTHWAVE,"940,000","1,119.46",840,01 Apr 2018,109 WOODLANDS VIEW #12-20,New Sale,Strata,104,"9,038",-,Executive Condominium,1,99 yrs from 25/05/2015,Uncompleted,HDB,737712,25,73,North Region,Woodlands
HARBOUR VIEW GARDENS,"1,474,000",839.59,"1,756",01 Apr 2018,223 PASIR PANJANG ROAD #05-09,New Sale,Strata,78,"18,897",-,Apartment,1,Freehold,Uncompleted,N.A,118584,05,11,Central Region,Queenstown
FERRARIA PARK CONDOMINIUM,"1,200,000","1,248.62",961,01 Apr 2018,28 FLORA DRIVE #04-58,Resale,Strata,116,"10,345",-,Condominium,1,Freehold,2009,HDB,506951,17,50,East Region,Pasir Ris
KINGSFORD WATERBAY,"1,292,000",958,"1,349",01 Apr 2018,80 UPPER SERANGOON VIEW #10-72,New Sale,Strata,89,"14,517",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,HDB,533878,19,53,North East Region,Hougang
KALLANG RIVERSIDE,"3,013,000","1,431.61","2,105",01 Apr 2018,51 KAMPONG BUGIS #12-07,New Sale,Strata,133,"22,654",-,Apartment,1,Freehold,Uncompleted,Private,338986,12,33,Central Region,Kallang
VA RESIDENCES,"969,000",645.84,"1,500",01 Apr 2018,9 BOON TECK ROAD #03-03,New Sale,Strata,60,"16,150",-,Apartment,1,Freehold,2016,Private,329583,12,32,Central Region,Novena
HARBOUR VIEW GARDENS,"1,641,000",979.52,"1,675",01 Apr 2018,223 PASIR PANJANG ROAD #04-13,New Sale,Strata,91,"18,033",-,Apartment,1,Freehold,Uncompleted,Private,118584,05,11,Central Region,Queenstown
LIIV RESIDENCES,"739,000",398.27,"1,856",01 Apr 2018,339 PASIR PANJANG ROAD #02-04,New Sale,Strata,37,"19,973",-,Apartment,1,Freehold,Uncompleted,Private,117368,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,106,000",624.31,"1,772",01 Apr 2018,221 PASIR PANJANG ROAD #01-02,New Sale,Strata,58,"19,069",-,Apartment,1,Freehold,Uncompleted,Private,118582,05,11,Central Region,Queenstown
KALLANG RIVERSIDE,"1,421,131",516.67,"2,751",01 Apr 2018,51 KAMPONG BUGIS #26-06,New Sale,Strata,48,"29,607",-,Apartment,1,Freehold,Uncompleted,HDB,338986,12,33,Central Region,Kallang
THE CLEMENT CANOPY,"1,443,000",990.29,"1,457",01 Apr 2018,16 CLEMENTI AVENUE 1 #21-02,New Sale,Strata,92,"15,685",-,Apartment,1,99 yrs from 09/03/2016,Uncompleted,Private,129960,05,12,West Region,Clementi
HARBOUR VIEW GARDENS,"1,104,000",624.31,"1,768",01 Apr 2018,221 PASIR PANJANG ROAD #05-02,New Sale,Strata,58,"19,034",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
KINGSFORD WATERBAY,"980,000",678.13,"1,445",01 Apr 2018,66 UPPER SERANGOON VIEW #05-14,New Sale,Strata,63,"15,556",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533885,19,53,North East Region,Hougang
KINGSFORD WATERBAY,"1,017,000",688.9,"1,476",01 Apr 2018,80 UPPER SERANGOON VIEW #08-74,New Sale,Strata,64,"15,891",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533878,19,53,North East Region,Hougang
HARBOUR VIEW GARDENS,"1,084,000",624.31,"1,736",01 Apr 2018,221 PASIR PANJANG ROAD #03-02,New Sale,Strata,58,"18,690",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,119,000",645.84,"1,733",01 Apr 2018,221 PASIR PANJANG ROAD #02-06,New Sale,Strata,60,"18,650",-,Apartment,1,Freehold,Uncompleted,N.A,118582,05,11,Central Region,Queenstown
KINGSFORD WATERBAY,"1,291,000",958,"1,348",01 Apr 2018,80 UPPER SERANGOON VIEW #09-72,New Sale,Strata,89,"14,506",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533878,19,53,North East Region,Hougang
HARBOUR VIEW GARDENS,"1,186,000",678.13,"1,749",01 Apr 2018,223 PASIR PANJANG ROAD #03-10,New Sale,Strata,63,"18,825",-,Apartment,1,Freehold,Uncompleted,Private,118584,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,132,000",645.84,"1,753",01 Apr 2018,221 PASIR PANJANG ROAD #03-06,New Sale,Strata,60,"18,867",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"1,205,000",688.9,"1,749",01 Apr 2018,221 PASIR PANJANG ROAD #03-05,New Sale,Strata,64,"18,828",-,Apartment,1,Freehold,Uncompleted,N.A,118582,05,11,Central Region,Queenstown
SEASIDE RESIDENCES,"1,791,000","1,130.22","1,585",01 Apr 2018,10 SIGLAP LINK #06-01,New Sale,Strata,105,"17,057",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448869,15,44,East Region,Bedok
KINGSFORD WATERBAY,"1,164,000",850.36,"1,369",01 Apr 2018,70 UPPER SERANGOON VIEW #07-29,New Sale,Strata,79,"14,734",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,Private,533883,19,53,North East Region,Hougang
HARBOUR VIEW GARDENS,"1,094,000",624.31,"1,752",01 Apr 2018,221 PASIR PANJANG ROAD #04-02,New Sale,Strata,58,"18,862",-,Apartment,1,Freehold,Uncompleted,HDB,118582,05,11,Central Region,Queenstown
HARBOUR VIEW GARDENS,"996,000",570.49,"1,746",01 Apr 2018,223 PASIR PANJANG ROAD #02-11,New Sale,Strata,53,"18,792",-,Apartment,1,Freehold,Uncompleted,N.A,118584,05,11,Central Region,Queenstown
