Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
QUEENS PEAK,"741,000",441.32,"1,679",01 Apr 2017,1 DUNDEE ROAD #19-10,New Sale,Strata,41,"18,073",-,Condominium,1,99 yrs from 28/09/2015,Uncompleted,Private,149456,03,14,Central Region,Queenstown
SOL ACRES,"681,000",925.7,736,01 Apr 2017,22 CHOA CHU KANG GROVE #06-51,New Sale,Strata,86,"7,919",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,N.A,688213,23,68,West Region,Choa Chu Kang
MARINE BLUE,"1,647,000","1,270.15","1,297",01 Apr 2017,89 MARINE PARADE ROAD #15-01,New Sale,Strata,118,"13,958",-,Condominium,1,Freehold,2016,Private,449313,15,44,Central Region,Marine Parade
SYMPHONY SUITES,"823,000",785.77,"1,047",01 Apr 2017,15 YISHUN CLOSE #08-30,New Sale,Strata,73,"11,274",-,Condominium,1,99 yrs from 10/06/2014,Uncompleted,HDB,768011,27,76,North Region,Yishun
THE CRITERION,"981,400","1,248.62",786,01 Apr 2017,11 YISHUN STREET 51 #05-23,New Sale,Strata,116,"8,460",-,Executive Condominium,1,99 yrs from 25/08/2014,Uncompleted,HDB,767971,27,76,North Region,Yishun
NORTHWAVE,"595,650",753.48,791,01 Apr 2017,111 WOODLANDS VIEW #13-24,New Sale,Strata,70,"8,509",-,Executive Condominium,1,99 yrs from 25/05/2015,Uncompleted,HDB,737703,25,73,North Region,Woodlands
THE ALPS RESIDENCES,"780,000",699.66,"1,115",01 Apr 2017,109 TAMPINES STREET 86 #08-31,New Sale,Strata,65,"12,000",-,Condominium,1,99 yrs from 03/08/2015,Uncompleted,HDB,528534,18,52,East Region,Tampines
NORTH PARK RESIDENCES,"995,020",731.95,"1,359",01 Apr 2017,35 YISHUN CENTRAL 1 #04-83,New Sale,Strata,68,"14,633",-,Apartment,1,99 yrs from 19/03/2015,Uncompleted,HDB,768807,27,76,North Region,Yishun
COMMONWEALTH TOWERS,"838,000",473.62,"1,769",01 Apr 2017,230 COMMONWEALTH AVENUE #38-01,New Sale,Strata,44,"19,045",-,Condominium,1,99 yrs from 07/05/2013,Uncompleted,HDB,149739,03,14,Central Region,Queenstown
COCO PALMS,"1,380,000","1,259.39","1,096",01 Apr 2017,33 PASIR RIS GROVE #05-66,New Sale,Strata,117,"11,795",-,Condominium,1,99 yrs from 07/01/2008,Uncompleted,HDB,518076,18,51,East Region,Pasir Ris
THE BROOKS I & II,"905,250",710.42,"1,274",01 Apr 2017,25 SPRINGSIDE GREEN #03-04,New Sale,Strata,66,"13,716",-,Apartment,1,Freehold,2016,Private,786015,26,78,North Region,Yishun
DOMAIN 21,"1,446,200","1,033.34","1,400",01 Apr 2017,21 DELTA ROAD #18-02,Resale,Strata,96,"15,065",-,Condominium,1,99 yrs from 02/07/2004,2007,Private,169813,03,16,Central Region,Bukit Merah
INZ RESIDENCE,"736,000",968.76,760,01 Apr 2017,64 CHOA CHU KANG AVENUE 5 #05-11,New Sale,Strata,90,"8,178",-,Executive Condominium,1,99 yrs from 27/11/2015,Uncompleted,HDB,688193,23,68,West Region,Choa Chu Kang
COMMONWEALTH TOWERS,"1,422,600",904.18,"1,573",01 Apr 2017,232 COMMONWEALTH AVENUE #24-21,New Sale,Strata,84,"16,936",-,Condominium,1,99 yrs from 07/05/2013,Uncompleted,HDB,149740,03,14,Central Region,Queenstown
SOL ACRES,"837,000","1,044.11",802,01 Apr 2017,10 CHOA CHU KANG GROVE #13-23,New Sale,Strata,97,"8,629",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,N.A,688207,23,68,West Region,Choa Chu Kang
WESTWOOD RESIDENCES,"937,100","1,151.75",814,01 Apr 2017,194 WESTWOOD AVENUE #05-30,New Sale,Strata,107,"8,758",-,Executive Condominium,1,99 yrs from 14/04/2014,Uncompleted,N.A,648152,22,64,West Region,Jurong West
GRANDEUR PARK RESIDENCES,"1,003,000",850.36,"1,180",01 Apr 2017,1 BEDOK SOUTH AVENUE 3 #15-02,New Sale,Strata,79,"12,696",-,Condominium,1,99 yrs from 25/05/2016,Uncompleted,HDB,465461,16,46,East Region,Bedok
TRE RESIDENCES,"1,018,000",699.66,"1,455",01 Apr 2017,7 GEYLANG EAST AVENUE 1 #11-01,New Sale,Strata,65,"15,662",-,Condominium,1,99 yrs from 23/04/2014,Uncompleted,HDB,389782,14,38,Central Region,Geylang
SOL ACRES,"449,000",570.49,787,01 Apr 2017,4 CHOA CHU KANG GROVE #12-10,New Sale,Strata,53,"8,472",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688239,23,68,West Region,Choa Chu Kang
THE BROWNSTONE,"793,600",914.94,867,01 Apr 2017,160 CANBERRA DRIVE #03-42,New Sale,Strata,85,"9,336",-,Executive Condominium,1,99 yrs from 28/04/2014,Uncompleted,N.A,767999,27,76,North Region,Sembawang
THE ALPS RESIDENCES,"731,000",688.9,"1,061",01 Apr 2017,111 TAMPINES STREET 86 #09-36,New Sale,Strata,64,"11,422",-,Condominium,1,99 yrs from 03/08/2015,Uncompleted,Private,528535,18,52,East Region,Tampines
INZ RESIDENCE,"800,000","1,011.82",791,01 Apr 2017,78 CHOA CHU KANG AVENUE 5 #08-35,New Sale,Strata,94,"8,511",-,Executive Condominium,1,99 yrs from 27/11/2015,Uncompleted,HDB,688200,23,68,West Region,Choa Chu Kang
BELLEWOODS,"809,820","1,065.64",760,01 Apr 2017,104 WOODLANDS AVENUE 5 #02-10,New Sale,Strata,99,"8,180",-,Executive Condominium,1,99 yrs from 12/08/2013,2017,HDB,739012,25,73,North Region,Woodlands
SOL ACRES,"659,000",850.36,775,01 Apr 2017,10 CHOA CHU KANG GROVE #02-27,New Sale,Strata,79,"8,342",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688207,23,68,West Region,Choa Chu Kang
PARC RIVIERA,"1,132,000",904.18,"1,252",01 Apr 2017,101 WEST COAST VALE #25-05,New Sale,Strata,84,"13,476",-,Condominium,1,99 yrs from 11/11/2015,Uncompleted,HDB,126753,05,12,West Region,Clementi
COMMONWEALTH TOWERS,"1,668,700","1,054.87","1,582",01 Apr 2017,232 COMMONWEALTH AVENUE #23-15,New Sale,Strata,98,"17,028",-,Condominium,1,99 yrs from 07/05/2013,Uncompleted,Private,149740,03,14,Central Region,Queenstown
CITY SUITES,"780,000",452.09,"1,725",01 Apr 2017,235 BALESTIER ROAD #03-03,New Sale,Strata,42,"18,571",-,Apartment,1,Freehold,Uncompleted,HDB,329699,12,32,Central Region,Novena
THE WISTERIA,"1,014,512",968.76,"1,047",01 Apr 2017,592 YISHUN RING ROAD #06-16,New Sale,Strata,90,"11,272",-,Apartment,1,99 yrs from 27/04/2015,Uncompleted,HDB,768695,27,76,North Region,Yishun
WESTWOOD RESIDENCES,"963,864","1,151.75",837,01 Apr 2017,188 WESTWOOD AVENUE #14-19,New Sale,Strata,107,"9,008",-,Executive Condominium,1,99 yrs from 14/04/2014,Uncompleted,N.A,648149,22,64,West Region,Jurong West
THE CREEK @ BUKIT,"1,612,000",936.47,"1,721",01 Apr 2017,17 TOH TUCK ROAD #04-35,New Sale,Strata,87,"18,529",-,Condominium,1,Freehold,Uncompleted,Private,596155,21,59,Central Region,Bukit Timah
INZ RESIDENCE,"768,000","1,011.82",759,01 Apr 2017,74 CHOA CHU KANG AVENUE 5 #16-25,New Sale,Strata,94,"8,170",-,Executive Condominium,1,99 yrs from 27/11/2015,Uncompleted,Private,688198,23,68,West Region,Choa Chu Kang
SIMS URBAN OASIS,"960,000",710.42,"1,351",01 Apr 2017,12 SIMS DRIVE #05-53,New Sale,Strata,66,"14,545",-,Condominium,1,99 yrs from 29/07/2014,Uncompleted,HDB,387391,14,38,Central Region,Geylang
COMMONWEALTH TOWERS,"1,898,000","1,302.44","1,457",01 Apr 2017,232 COMMONWEALTH AVENUE #05-19,New Sale,Strata,121,"15,686",-,Condominium,1,99 yrs from 07/05/2013,Uncompleted,Private,149740,03,14,Central Region,Queenstown
CORALS AT KEPPEL BAY,"1,470,000",893.41,"1,645",01 Apr 2017,21 KEPPEL BAY DRIVE #02-43,New Sale,Strata,83,"17,711",-,Condominium,1,99 yrs from 26/02/2007,2016,N.A,098022,04,09,Central Region,Bukit Merah
THE POIZ RESIDENCES,"646,000",419.8,"1,539",01 Apr 2017,12 MEYAPPA CHETTIAR ROAD #14-46,New Sale,Strata,39,"16,564",-,Apartment,1,99 yrs from 17/11/2014,Uncompleted,HDB,358474,13,35,Central Region,Toa Payoh
BELLEWOODS,"949,410","1,248.62",760,01 Apr 2017,118 WOODLANDS AVENUE 5 #05-39,New Sale,Strata,116,"8,185",-,Executive Condominium,1,99 yrs from 12/08/2013,2017,HDB,739019,25,73,North Region,Woodlands
SOPHIA HILLS,"2,175,000","1,130.22","1,924",01 Apr 2017,5 MOUNT SOPHIA #04-08,New Sale,Strata,105,"20,714",-,Condominium,1,99 yrs from 10/12/2013,Uncompleted,HDB,228453,09,22,Central Region,Rochor
SOL ACRES,"801,000","1,044.11",767,01 Apr 2017,12 CHOA CHU KANG GROVE #07-28,New Sale,Strata,97,"8,258",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688208,23,68,West Region,Choa Chu Kang
N.A.,"1,550,000","1,388.56","1,116",01 Apr 2017,108B SHREWSBURY ROAD,Resale,Strata,129,"12,016",-,Apartment,1,Freehold,-,Private,307852,11,30,Central Region,Novena
SIGNATURE AT YISHUN,"866,287","1,184.04",732,01 Apr 2017,33 YISHUN STREET 51 #07-27,New Sale,Strata,110,"7,875",-,Executive Condominium,1,99 yrs from 25/08/2014,Uncompleted,HDB,767991,27,76,North Region,Yishun
SOL ACRES,"469,000",570.49,822,01 Apr 2017,4 CHOA CHU KANG GROVE #22-06,New Sale,Strata,53,"8,849",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,HDB,688239,23,68,West Region,Choa Chu Kang
PARC RIVIERA,"885,000",710.42,"1,246",01 Apr 2017,103 WEST COAST VALE #08-21,New Sale,Strata,66,"13,409",-,Condominium,1,99 yrs from 11/11/2015,Uncompleted,Private,126754,05,12,West Region,Clementi
PARC LIFE,"894,740","1,065.64",837,02 Apr 2017,33 SEMBAWANG CRESCENT #13-25,New Sale,Strata,99,"9,015","892,440",Executive Condominium,1,99 yrs from 13/10/2014,Uncompleted,N.A,756984,27,75,North Region,Sembawang
FORESTVILLE,"1,055,000","1,496.2",705,02 Apr 2017,28 WOODLANDS DRIVE 16 #02-19,New Sale,Strata,139,"7,590",-,Executive Condominium,1,99 yrs from 06/08/2012,2016,HDB,737768,25,73,North Region,Woodlands
TRE RESIDENCES,"910,000",570.49,"1,595",02 Apr 2017,7 GEYLANG EAST AVENUE 1 #14-08,New Sale,Strata,53,"17,170",-,Condominium,1,99 yrs from 23/04/2014,Uncompleted,HDB,389782,14,38,Central Region,Geylang
THE VISIONAIRE,"871,000","1,108.69",786,02 Apr 2017,190 CANBERRA DRIVE #01-44,New Sale,Strata,103,"8,456",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,HDB,767957,27,76,North Region,Sembawang
SIGNATURE AT YISHUN,"767,830","1,097.93",699,02 Apr 2017,23 YISHUN STREET 51 #03-07,New Sale,Strata,102,"7,528",-,Executive Condominium,1,99 yrs from 25/08/2014,2017,HDB,768086,27,76,North Region,Yishun
PARC RIVIERA,"900,000",710.42,"1,267",02 Apr 2017,101 WEST COAST VALE #18-07,New Sale,Strata,66,"13,636",-,Condominium,1,99 yrs from 11/11/2015,Uncompleted,Private,126753,05,12,West Region,Clementi
SOL ACRES,"809,000","1,044.11",775,02 Apr 2017,12 CHOA CHU KANG GROVE #08-28,New Sale,Strata,97,"8,340",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688208,23,68,West Region,Choa Chu Kang
PARC LIFE,"781,850","1,044.11",747,02 Apr 2017,29 SEMBAWANG CRESCENT #05-18,New Sale,Strata,97,"8,037","779,550",Executive Condominium,1,99 yrs from 13/10/2014,Uncompleted,HDB,756982,27,75,North Region,Sembawang
SOL ACRES,"849,000","1,044.11",813,02 Apr 2017,10 CHOA CHU KANG GROVE #16-23,New Sale,Strata,97,"8,753",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688207,23,68,West Region,Choa Chu Kang
PARC RIVIERA,"922,000",710.42,"1,298",02 Apr 2017,103 WEST COAST VALE #25-18,New Sale,Strata,66,"13,970",-,Condominium,1,99 yrs from 11/11/2015,Uncompleted,HDB,126754,05,12,West Region,Clementi
THE CLEMENT CANOPY,"1,053,000",731.95,"1,439",02 Apr 2017,18 CLEMENTI AVENUE 1 #32-13,New Sale,Strata,68,"15,485",-,Apartment,1,99 yrs from 09/03/2016,Uncompleted,N.A,129961,05,12,West Region,Clementi
THE GLADES,"735,800",473.62,"1,554",02 Apr 2017,10 BEDOK RISE #10-29,New Sale,Strata,44,"16,723",-,Condominium,1,99 yrs from 21/01/2013,2016,N.A,469601,16,46,East Region,Bedok
HILLION RESIDENCES,"652,650",473.62,"1,378",02 Apr 2017,8 JELEBU ROAD #08-07,New Sale,Strata,44,"14,833",-,Apartment,1,99 yrs from 04/01/2013,Uncompleted,N.A,677671,23,67,West Region,Bukit Panjang
HILLION RESIDENCES,"703,950",473.62,"1,486",02 Apr 2017,8 JELEBU ROAD #16-07,New Sale,Strata,44,"15,999",-,Apartment,1,99 yrs from 04/01/2013,Uncompleted,HDB,677671,23,67,West Region,Bukit Panjang
ELITE RESIDENCES,"2,578,300","3,864.28",667,02 Apr 2017,52 ELITE TERRACE,New Sale,Strata,359,"7,182",-,Terrace House,1,Freehold,Uncompleted,Private,458806,15,45,East Region,Bedok
THE VISIONAIRE,"828,000","1,022.58",810,02 Apr 2017,172 CANBERRA DRIVE #03-05,New Sale,Strata,95,"8,716",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,HDB,768003,27,76,North Region,Sembawang
QUEENS PEAK,"736,000",430.56,"1,709",02 Apr 2017,1 DUNDEE ROAD #22-11,New Sale,Strata,40,"18,400",-,Condominium,1,99 yrs from 28/09/2015,Uncompleted,Private,149456,03,14,Central Region,Queenstown
THE VISIONAIRE,"740,500",958,773,02 Apr 2017,194 CANBERRA DRIVE #02-52,New Sale,Strata,89,"8,320",-,Executive Condominium,1,99 yrs from 09/01/2015,2018,HDB,767959,27,76,North Region,Sembawang
THE VISIONAIRE,"705,000",871.88,809,02 Apr 2017,178 CANBERRA DRIVE #03-18,New Sale,Strata,81,"8,704",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,N.A,767951,27,76,North Region,Sembawang
GEM RESIDENCES,"1,354,000",936.47,"1,446",02 Apr 2017,1 LORONG 5 TOA PAYOH #13-07,New Sale,Strata,87,"15,563",-,Condominium,1,99 yrs from 21/09/2015,Uncompleted,Private,319458,12,31,Central Region,Toa Payoh
GRANDEUR PARK RESIDENCES,"958,000",624.31,"1,534",02 Apr 2017,1 BEDOK SOUTH AVENUE 3 #08-01,New Sale,Strata,58,"16,517",-,Condominium,1,99 yrs from 25/05/2016,Uncompleted,HDB,465461,16,46,East Region,Bedok
THE ALPS RESIDENCES,"707,000",688.9,"1,026",02 Apr 2017,103 TAMPINES STREET 86 #05-07,New Sale,Strata,64,"11,047",-,Condominium,1,99 yrs from 03/08/2015,Uncompleted,HDB,528576,18,52,East Region,Tampines
NORTH PARK RESIDENCES,"1,389,600","1,227.1","1,132",02 Apr 2017,19 YISHUN CENTRAL 1 #13-35,New Sale,Strata,114,"12,189",-,Apartment,1,99 yrs from 19/03/2015,Uncompleted,HDB,768799,27,76,North Region,Yishun
SOL ACRES,"914,000","1,162.51",786,02 Apr 2017,10 CHOA CHU KANG GROVE #05-26,New Sale,Strata,108,"8,463",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688207,23,68,West Region,Choa Chu Kang
THE POIZ RESIDENCES,"1,923,000","1,506.96","1,276",02 Apr 2017,8 MEYAPPA CHETTIAR ROAD #07-12,New Sale,Strata,140,"13,736",-,Apartment,1,99 yrs from 17/11/2014,Uncompleted,HDB,358455,13,35,Central Region,Toa Payoh
SOL ACRES,"720,000",925.7,778,02 Apr 2017,20 CHOA CHU KANG GROVE #18-50,New Sale,Strata,86,"8,372",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688212,23,68,West Region,Choa Chu Kang
PRINCIPAL GARDEN,"834,000",495.14,"1,674",02 Apr 2017,97 PRINCE CHARLES CRESCENT #16-20,New Sale,Strata,46,"18,022","829,000",Condominium,1,99 yrs from 21/07/2014,Uncompleted,Private,159028,03,15,Central Region,Bukit Merah
SOL ACRES,"684,000",925.7,739,02 Apr 2017,20 CHOA CHU KANG GROVE #07-50,New Sale,Strata,86,"7,953",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,Private,688212,23,68,West Region,Choa Chu Kang
NORTH PARK RESIDENCES,"1,288,800",968.76,"1,330",02 Apr 2017,19 YISHUN CENTRAL 1 #05-35,New Sale,Strata,90,"14,320",-,Apartment,1,99 yrs from 19/03/2015,Uncompleted,HDB,768799,27,76,North Region,Yishun
WESTWOOD RESIDENCES,"931,800","1,151.75",809,02 Apr 2017,184 WESTWOOD AVENUE #12-11,New Sale,Strata,107,"8,708",-,Executive Condominium,1,99 yrs from 14/04/2014,2017,HDB,648147,22,64,West Region,Jurong West
NORTH PARK RESIDENCES,"944,900",699.66,"1,351",02 Apr 2017,25 YISHUN CENTRAL 1 #09-54,New Sale,Strata,65,"14,537",-,Apartment,1,99 yrs from 19/03/2015,Uncompleted,HDB,768802,27,76,North Region,Yishun
SIMS URBAN OASIS,"941,000",667.37,"1,410",02 Apr 2017,2 SIMS DRIVE #16-17,New Sale,Strata,62,"15,177",-,Condominium,1,99 yrs from 29/07/2014,Uncompleted,HDB,387386,14,38,Central Region,Geylang
THE VISIONAIRE,"815,000",979.52,832,02 Apr 2017,188 CANBERRA DRIVE #08-40,New Sale,Strata,91,"8,956",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,HDB,767956,27,76,North Region,Sembawang
SIMS URBAN OASIS,"935,000",667.37,"1,401",02 Apr 2017,10 SIMS DRIVE #14-42,New Sale,Strata,62,"15,081",-,Condominium,1,99 yrs from 29/07/2014,Uncompleted,HDB,387390,14,38,Central Region,Geylang
KINGSFORD WATERBAY,"886,000",688.9,"1,286",02 Apr 2017,70 UPPER SERANGOON VIEW #12-31,New Sale,Strata,64,"13,844",-,Apartment,1,99 yrs from 03/03/2014,Uncompleted,HDB,533883,19,53,North East Region,Hougang
SIGNATURE AT YISHUN,"813,890","1,097.93",741,02 Apr 2017,31 YISHUN STREET 51 #05-22,New Sale,Strata,102,"7,979",-,Executive Condominium,1,99 yrs from 25/08/2014,Uncompleted,Private,767990,27,76,North Region,Yishun
SIMS URBAN OASIS,"987,200",710.42,"1,390",02 Apr 2017,12 SIMS DRIVE #13-53,New Sale,Strata,66,"14,958",-,Condominium,1,99 yrs from 29/07/2014,Uncompleted,Private,387391,14,38,Central Region,Geylang
BELLEWOODS,"1,012,770","1,280.92",791,02 Apr 2017,110 WOODLANDS AVENUE 5 #10-23,New Sale,Strata,119,"8,511",-,Executive Condominium,1,99 yrs from 12/08/2013,2017,N.A,739015,25,73,North Region,Woodlands
