Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
SIMS URBAN OASIS,"1,419,900",990.29,"1,434",02 Apr 2017,4 SIMS DRIVE #11-19,New Sale,Strata,92,"15,434",-,Condominium,1,99 yrs from 29/07/2014,Uncompleted,HDB,387387,14,38,Central Region,Geylang
THE SANTORINI,"800,000",753.48,"1,062",03 Apr 2017,35 TAMPINES STREET 86 #11-39,New Sale,Strata,70,"11,429",-,Condominium,1,99 yrs from 16/10/2013,Uncompleted,Private,528574,18,52,East Region,Tampines
BLU CORAL,"2,358,000","3,422.95",689,03 Apr 2017,127 LORONG L TELOK KURAU #01-01,Resale,Strata,318,"7,415",-,Condominium,1,Freehold,2009,HDB,425562,15,42,East Region,Bedok
THE VENUE RESIDENCES,"1,848,000","1,377.79","1,341",03 Apr 2017,12 TAI THONG CRESCENT #13-19,New Sale,Strata,128,"14,438",-,Apartment,1,99 yrs from 05/12/2012,Uncompleted,HDB,347846,13,34,Central Region,Toa Payoh
THE CLEARWATER,"1,040,000","1,194.8",870,03 Apr 2017,2 BEDOK RESERVOIR VIEW #06-03,Resale,Strata,111,"9,369",-,Condominium,1,99 yrs from 18/07/1997,2001,Private,479232,16,47,East Region,Bedok
ESPIRA SUITES,"680,000",484.38,"1,404",03 Apr 2017,99A LORONG H TELOK KURAU #04-06,Resale,Strata,45,"15,111",-,Apartment,1,Freehold,2012,Private,426121,15,42,East Region,Bedok
TRE RESIDENCES,"1,205,000",861.12,"1,399",03 Apr 2017,7 GEYLANG EAST AVENUE 1 #06-03,New Sale,Strata,80,"15,063",-,Condominium,1,99 yrs from 23/04/2014,Uncompleted,Private,389782,14,38,Central Region,Geylang
ICON,"1,070,000",581.26,"1,841",03 Apr 2017,10 GOPENG STREET #20-06,Resale,Strata,54,"19,815",-,Apartment,1,99 yrs from 29/01/2002,2007,Private,078878,02,07,Central Region,Downtown Core
N.A.,"2,400,000","2,019.33","1,189",03 Apr 2017,562 EAST COAST ROAD,Resale,Land,187.6,"12,793",-,Terrace House,1,Freehold,-,Private,458981,15,45,East Region,Bedok
BELLEWOODS,"946,440","1,248.62",758,03 Apr 2017,118 WOODLANDS AVENUE 5 #04-39,New Sale,Strata,116,"8,159",-,Executive Condominium,1,99 yrs from 12/08/2013,2017,N.A,739019,25,73,North Region,Woodlands
THE SAIL @ MARINA BAY,"1,238,000",678.13,"1,826",03 Apr 2017,6 MARINA BOULEVARD #44-17,Resale,Strata,63,"19,651",-,Apartment,1,99 yrs from 12/08/2002,2008,Private,018985,01,01,Central Region,Downtown Core
3@SANDILANDS,"1,275,000","1,517.72",840,03 Apr 2017,3 SANDILANDS ROAD #05-02,Resale,Strata,141,"9,043",-,Apartment,1,999 yrs from 01/01/1886,2010,HDB,546066,19,54,North East Region,Hougang
QUEENS PEAK,"740,000",430.56,"1,719",03 Apr 2017,1 DUNDEE ROAD #23-11,New Sale,Strata,40,"18,500",-,Condominium,1,99 yrs from 28/09/2015,Uncompleted,HDB,149456,03,14,Central Region,Queenstown
FLORIDIAN,"2,600,000","1,657.66","1,568",03 Apr 2017,967 BUKIT TIMAH ROAD #10-15,Resale,Strata,154,"16,883",-,Condominium,1,Freehold,2012,Private,589663,21,58,Central Region,Bukit Timah
PARRY GREEN,"1,450,000","1,614.6",898,03 Apr 2017,31 LIMBOK TERRACE,Resale,Land,150,"9,667",-,Terrace House,1,99 yrs from 28/02/1996,1998,Private,545189,19,54,North East Region,Hougang
ROBERTSON 100,"1,500,000",882.65,"1,699",03 Apr 2017,100 ROBERTSON QUAY #05-06,Resale,Strata,82,"18,293",-,Apartment,1,Freehold,2004,HDB,238250,09,23,Central Region,Singapore River
EMERALD GARDEN,"1,888,000","1,216.33","1,552",03 Apr 2017,33 CLUB STREET #02-18,Resale,Strata,113,"16,708",-,Condominium,1,999 yrs from 01/10/1827,1999,Private,069415,01,06,Central Region,Outram
RIVERGATE,"2,888,888","1,506.96","1,917",03 Apr 2017,93 ROBERTSON QUAY #22-04,Resale,Strata,140,"20,635",-,Apartment,1,Freehold,2009,Private,238255,09,23,Central Region,Singapore River
FAR HORIZON GARDENS,"808,000","1,151.75",702,03 Apr 2017,9 ANG MO KIO AVENUE 9 #02-06,Resale,Strata,107,"7,551",-,Condominium,1,99 yrs from 08/03/1982,1986,HDB,569762,20,56,North East Region,Ang Mo Kio
HAZEL PARK CONDOMINIUM,"1,360,000","1,334.74","1,019",03 Apr 2017,25 HAZEL PARK TERRACE #11-11,Resale,Strata,124,"10,968",-,Condominium,1,999 yrs from 25/09/1882,2000,Private,678948,23,67,West Region,Bukit Panjang
BOTANIKA,"5,200,000","3,293.78","1,579",03 Apr 2017,50 HOLLAND ROAD #01-05,Resale,Strata,306,"16,993",-,Apartment,1,Freehold,2008,Private,258853,10,25,Central Region,Tanglin
THE PEARL @ MOUNT FABER,"1,290,000","1,173.28","1,099",03 Apr 2017,9 MOUNT FABER ROAD #04-13,Resale,Strata,109,"11,835",-,Condominium,1,99 yrs from 03/12/2002,2005,Private,099208,04,09,Central Region,Bukit Merah
THE MINTON,"930,000",979.52,949,03 Apr 2017,14A HOUGANG STREET 11 #06-75,Resale,Strata,91,"10,220",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534070,19,53,North East Region,Hougang
WESTWOOD RESIDENCES,"937,100","1,151.75",814,03 Apr 2017,192 WESTWOOD AVENUE #05-25,New Sale,Strata,107,"8,758",-,Executive Condominium,1,99 yrs from 14/04/2014,Uncompleted,HDB,648151,22,64,West Region,Jurong West
SIGNATURE AT YISHUN,"948,999","1,302.44",729,03 Apr 2017,35 YISHUN STREET 51 #03-32,New Sale,Strata,121,"7,843",-,Executive Condominium,1,99 yrs from 25/08/2014,Uncompleted,Private,767992,27,76,North Region,Yishun
HARBOURLIGHTS,"1,052,000",764.24,"1,377",03 Apr 2017,66 TELOK BLANGAH ROAD #05-01,Resale,Strata,71,"14,817",-,Apartment,1,Freehold,1997,Private,098830,04,09,Central Region,Bukit Merah
THE GARDENS AT BISHAN,"1,260,000","1,227.1","1,027",03 Apr 2017,1 SIN MING WALK #10-36,Resale,Strata,114,"11,053",-,Condominium,1,99 yrs from 22/03/1997,2004,Private,575574,20,57,Central Region,Bishan
HIGHLINE RESIDENCES,"1,942,500","1,108.69","1,752",03 Apr 2017,7 KIM TIAN ROAD #14-07,New Sale,Strata,103,"18,859",-,Condominium,1,99 yrs from 22/07/2013,Uncompleted,Private,168592,03,16,Central Region,Bukit Merah
SOL ACRES,"449,000",570.49,787,03 Apr 2017,4 CHOA CHU KANG GROVE #12-06,New Sale,Strata,53,"8,472",-,Executive Condominium,1,99 yrs from 02/06/2014,Uncompleted,HDB,688239,23,68,West Region,Choa Chu Kang
VILLA VERDE,"1,570,000","2,152.8",729,03 Apr 2017,41 VERDE GROVE,Resale,Land,200,"7,850",-,Terrace House,1,99 yrs from 22/03/1997,2000,Private,688573,23,68,West Region,Choa Chu Kang
GENTLE VILLAS,"2,680,000","2,301.34","1,165",03 Apr 2017,60 GENTLE DRIVE,Resale,Land,213.8,"12,535",-,Semi-Detached House,1,99 yrs from 27/01/1993,1995,Private,309263,11,30,Central Region,Novena
BLUWATERS 2,"830,000",871.88,952,03 Apr 2017,205 JALAN LOYANG BESAR #04-11,Resale,Strata,81,"10,247",-,Condominium,1,946 yrs from 01/01/1938,2010,Private,509456,17,50,East Region,Pasir Ris
26 NEWTON,"1,190,865",473.62,"2,514",03 Apr 2017,26 NEWTON ROAD #24-09,Resale,Strata,44,"27,065",-,Apartment,1,Freehold,2016,Private,307957,11,30,Central Region,Novena
PARRY PARK,"1,950,000","1,684.57","1,158",03 Apr 2017,22 PARRY VIEW,Resale,Land,156.5,"12,460",-,Terrace House,1,999 yrs from 16/08/1877,1991,Private,547082,19,54,North East Region,Hougang
