Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
RIVIERE,"2,362,920",818.06,"2,888",01 Jun 2019,3 JIAK KIM STREET #16-12,New Sale,Strata,76,"31,091",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
RIVIERE,"1,550,060",559.73,"2,769",01 Jun 2019,1 JIAK KIM STREET #03-03,New Sale,Strata,52,"29,809",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,HDB,169423,03,16,Central Region,Singapore River
AFFINITY AT SERANGOON,"775,000",538.2,"1,440",01 Jun 2019,28 SERANGOON NORTH AVENUE 1 #06-62,New Sale,Strata,50,"15,500",-,Apartment,1,99 yrs from 18/05/2018,Uncompleted,Private,554341,19,55,North East Region,Serangoon
THE TRE VER,"1,238,000",742.72,"1,667",01 Jun 2019,64 POTONG PASIR AVENUE 1 #14-23,New Sale,Strata,69,"17,942",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,HDB,358393,13,35,Central Region,Toa Payoh
THE FLORENCE RESIDENCES,"945,000",635.08,"1,488",01 Jun 2019,83 HOUGANG AVENUE 2 #09-10,New Sale,Strata,59,"16,017",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,HDB,538860,19,53,North East Region,Hougang
THE FLORENCE RESIDENCES,"1,269,000",925.7,"1,371",01 Jun 2019,83 HOUGANG AVENUE 2 #05-15,New Sale,Strata,86,"14,756",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,Private,538860,19,53,North East Region,Hougang
RIVIERE,"2,225,280",818.06,"2,720",01 Jun 2019,1 JIAK KIM STREET #08-06,New Sale,Strata,76,"29,280",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169423,03,16,Central Region,Singapore River
RIVERFRONT RESIDENCES,"641,000",462.85,"1,385",01 Jun 2019,51 HOUGANG AVENUE 7 #14-54,New Sale,Strata,43,"14,907",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
RIVERFRONT RESIDENCES,"935,000",721.19,"1,296",01 Jun 2019,43 HOUGANG AVENUE 7 #12-17,New Sale,Strata,67,"13,955",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533814,19,53,North East Region,Hougang
MEYERHOUSE,"8,306,000","3,239.96","2,564",01 Jun 2019,128 MEYER ROAD #01-09,New Sale,Strata,301,"27,595",-,Condominium,1,Freehold,Uncompleted,Private,437938,15,43,Central Region,Marine Parade
RIVIERE,"1,581,100",559.73,"2,825",01 Jun 2019,3 JIAK KIM STREET #02-09,New Sale,Strata,52,"30,406",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
PARC KOMO,"1,447,000",968.76,"1,494",01 Jun 2019,969 UPPER CHANGI ROAD NORTH #05-46,New Sale,Strata,90,"16,078",-,Apartment,1,Freehold,Uncompleted,Private,507667,17,50,East Region,Pasir Ris
PARC KOMO,"1,973,000","1,420.85","1,389",01 Jun 2019,965 UPPER CHANGI ROAD NORTH #04-33,New Sale,Strata,132,"14,947",-,Apartment,1,Freehold,Uncompleted,Private,507665,17,50,East Region,Pasir Ris
RIVIERE,"2,278,530",818.06,"2,785",01 Jun 2019,3 JIAK KIM STREET #08-12,New Sale,Strata,76,"29,981",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
RIVIERE,"2,225,180",818.06,"2,720",01 Jun 2019,3 JIAK KIM STREET #03-12,New Sale,Strata,76,"29,279",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
