Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
BELGRAVIA GREEN,"3,046,373","3,466.01",879,01 Jun 2019,349 BELGRAVIA DRIVE,New Sale,Strata,322,"9,461",-,Terrace House,1,Freehold,Uncompleted,Private,804353,28,80,North East Region,Serangoon
REZI 24,"835,000",548.96,"1,521",01 Jun 2019,39 LORONG 24 GEYLANG #05-08,New Sale,Strata,51,"16,373",-,Apartment,1,Freehold,Uncompleted,Private,398636,14,39,Central Region,Geylang
RIVIERE,"3,588,030","1,216.33","2,950",01 Jun 2019,3 JIAK KIM STREET #18-10,New Sale,Strata,113,"31,752",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
BOULEVARD 88,"10,742,000","2,766.35","3,883",01 Jun 2019,88 ORCHARD BOULEVARD #23-06,New Sale,Strata,257,"41,798",-,Apartment,1,Freehold,Uncompleted,HDB,248656,10,24,Central Region,Orchard
STIRLING RESIDENCES,"1,375,000",764.24,"1,799",01 Jun 2019,23 STIRLING ROAD #18-17,New Sale,Strata,71,"19,366",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
PARC ESTA,"1,408,000",904.18,"1,557",01 Jun 2019,914 SIMS AVENUE #07-64,New Sale,Strata,84,"16,762",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408973,14,40,Central Region,Geylang
BELGRAVIA GREEN,"2,995,300","3,422.95",875,01 Jun 2019,337 BELGRAVIA DRIVE,New Sale,Strata,318,"9,419",-,Terrace House,1,Freehold,Uncompleted,Private,804347,28,80,North East Region,Serangoon
MARGARET VILLE,"1,682,072",968.76,"1,736",01 Jun 2019,20 MARGARET DRIVE #09-07,New Sale,Strata,90,"18,690",-,Apartment,1,99 yrs from 13/03/2017,Uncompleted,Private,149312,03,14,Central Region,Queenstown
RIVIERE,"1,672,280",559.73,"2,988",01 Jun 2019,3 JIAK KIM STREET #13-09,New Sale,Strata,52,"32,159",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
THE GARDEN RESIDENCES,"775,100",516.67,"1,500",01 Jun 2019,1 SERANGOON NORTH VIEW #09-15,New Sale,Strata,48,"16,148",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,Private,554343,19,55,North East Region,Serangoon
THE JOVELL,"683,000",527.44,"1,295",01 Jun 2019,17 FLORA DRIVE #01-22,New Sale,Strata,49,"13,939",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,N.A,506855,17,50,East Region,Pasir Ris
RIVIERE,"2,389,110",818.06,"2,920",01 Jun 2019,3 JIAK KIM STREET #18-12,New Sale,Strata,76,"31,436",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
PARC KOMO,"1,499,000","1,001.05","1,497",01 Jun 2019,959 UPPER CHANGI ROAD NORTH #04-62,New Sale,Strata,93,"16,118",-,Apartment,1,Freehold,Uncompleted,Private,506787,17,50,East Region,Pasir Ris
THE JOVELL,"809,000",635.08,"1,274",01 Jun 2019,15 FLORA DRIVE #03-16,New Sale,Strata,59,"13,712",-,Condominium,1,99 yrs from 08/03/2018,Uncompleted,HDB,506854,17,50,East Region,Pasir Ris
THE TAPESTRY,"1,420,740","1,130.22","1,257",01 Jun 2019,59 TAMPINES STREET 86 #07-31,New Sale,Strata,105,"13,531",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,Private,528509,18,52,East Region,Tampines
MEYERHOUSE,"8,022,000","2,970.86","2,700",01 Jun 2019,128 MEYER ROAD #04-10,New Sale,Strata,276,"29,065",-,Condominium,1,Freehold,Uncompleted,Private,437938,15,43,Central Region,Marine Parade
THE GARDEN RESIDENCES,"1,238,900",796.54,"1,555",01 Jun 2019,9 SERANGOON NORTH VIEW #05-42,New Sale,Strata,74,"16,742",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554347,19,55,North East Region,Serangoon
TREASURE AT TAMPINES,"1,314,000","1,033.34","1,272",01 Jun 2019,47 TAMPINES LANE #07-159,New Sale,Strata,96,"13,688",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528462,18,52,East Region,Tampines
TREASURE AT TAMPINES,"635,000",484.38,"1,311",01 Jun 2019,49 TAMPINES LANE #05-169,New Sale,Strata,45,"14,111",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528461,18,52,East Region,Tampines
THE TRE VER,"1,619,000","1,011.82","1,600",01 Jun 2019,68 POTONG PASIR AVENUE 1 #11-38,New Sale,Strata,94,"17,223",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,HDB,358395,13,35,Central Region,Toa Payoh
RIVIERE,"2,293,080",818.06,"2,803",01 Jun 2019,1 JIAK KIM STREET #07-02,New Sale,Strata,76,"30,172",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169423,03,16,Central Region,Singapore River
SEASIDE RESIDENCES,"1,995,060","1,205.57","1,655",01 Jun 2019,12 SIGLAP LINK #02-15,New Sale,Strata,112,"17,813",-,Apartment,1,99 yrs from 18/04/2016,Uncompleted,Private,448870,15,44,East Region,Bedok
WHISTLER GRAND,"740,340",505.91,"1,463",01 Jun 2019,109 WEST COAST VALE #09-13,New Sale,Strata,47,"15,752",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,HDB,126752,05,12,West Region,Clementi
RIVIERE,"1,661,610",559.73,"2,969",01 Jun 2019,1 JIAK KIM STREET #16-03,New Sale,Strata,52,"31,954",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169423,03,16,Central Region,Singapore River
PARC KOMO,"1,485,000","1,001.05","1,483",01 Jun 2019,961 UPPER CHANGI ROAD NORTH #03-68,New Sale,Strata,93,"15,968",-,Apartment,1,Freehold,Uncompleted,Private,507663,17,50,East Region,Pasir Ris
RIVIERE,"1,642,210",559.73,"2,934",01 Jun 2019,3 JIAK KIM STREET #10-09,New Sale,Strata,52,"31,581",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169424,03,16,Central Region,Singapore River
RIVIERE,"2,410,450",818.06,"2,947",01 Jun 2019,1 JIAK KIM STREET #18-02,New Sale,Strata,76,"31,716",-,Apartment,1,99 yrs from 07/03/2018,Uncompleted,Private,169423,03,16,Central Region,Singapore River
BOULEVARD 88,"10,438,600","2,766.35","3,773",01 Jun 2019,88 ORCHARD BOULEVARD #17-06,New Sale,Strata,257,"40,617",-,Apartment,1,Freehold,Uncompleted,HDB,248656,10,24,Central Region,Orchard
PARC ESTA,"952,000",516.67,"1,843",01 Jun 2019,916 SIMS AVENUE #15-76,New Sale,Strata,48,"19,833",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408974,14,40,Central Region,Geylang
THE TRE VER,"790,000",495.14,"1,595",02 Jun 2019,60 POTONG PASIR AVENUE 1 #13-05,New Sale,Strata,46,"17,174",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,HDB,358391,13,35,Central Region,Toa Payoh
THE WOODLEIGH RESIDENCES,"1,009,000",570.49,"1,769",02 Jun 2019,23 BIDADARI PARK DRIVE #03-30,New Sale,Strata,53,"19,038",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367796,13,36,Central Region,Toa Payoh
PARC ESTA,"1,565,000",925.7,"1,691",02 Jun 2019,910 SIMS AVENUE #09-47,New Sale,Strata,86,"18,198",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408971,14,40,Central Region,Geylang
WHISTLER GRAND,"1,147,770",764.24,"1,502",02 Jun 2019,109 WEST COAST VALE #28-15,New Sale,Strata,71,"16,166",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,N.A,126752,05,12,West Region,Clementi
WHISTLER GRAND,"1,034,370",764.24,"1,353",02 Jun 2019,107 WEST COAST VALE #10-05,New Sale,Strata,71,"14,569",-,Apartment,1,99 yrs from 07/05/2018,Uncompleted,HDB,126751,05,12,West Region,Clementi
PARC KOMO,"871,000",613.55,"1,420",02 Jun 2019,963 UPPER CHANGI ROAD NORTH #03-24,New Sale,Strata,57,"15,281",-,Apartment,1,Freehold,Uncompleted,HDB,507664,17,50,East Region,Pasir Ris
TREASURE AT TAMPINES,"940,000",678.13,"1,386",02 Jun 2019,7 TAMPINES LANE #02-25,New Sale,Strata,63,"14,921",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528487,18,52,East Region,Tampines
THE WOODLEIGH RESIDENCES,"1,303,000",688.9,"1,891",02 Jun 2019,19 BIDADARI PARK DRIVE #09-15,New Sale,Strata,64,"20,359",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367794,13,36,Central Region,Toa Payoh
PARC ESTA,"1,433,000",904.18,"1,585",02 Jun 2019,914 SIMS AVENUE #12-64,New Sale,Strata,84,"17,060",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408973,14,40,Central Region,Geylang
PARC KOMO,"1,440,000",968.76,"1,486",02 Jun 2019,969 UPPER CHANGI ROAD NORTH #04-46,New Sale,Strata,90,"16,000",-,Apartment,1,Freehold,Uncompleted,HDB,507667,17,50,East Region,Pasir Ris
PARC KOMO,"843,000",548.96,"1,536",02 Jun 2019,969 UPPER CHANGI ROAD NORTH #05-43,New Sale,Strata,51,"16,529",-,Apartment,1,Freehold,Uncompleted,Private,507667,17,50,East Region,Pasir Ris
PARC ESTA,"1,388,000",904.18,"1,535",02 Jun 2019,914 SIMS AVENUE #04-64,New Sale,Strata,84,"16,524",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408973,14,40,Central Region,Geylang
RIVERFRONT RESIDENCES,"1,448,000","1,108.69","1,306",02 Jun 2019,57 HOUGANG AVENUE 7 #11-79,New Sale,Strata,103,"14,058",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533821,19,53,North East Region,Hougang
TREASURE AT TAMPINES,"623,000",484.38,"1,286",02 Jun 2019,51 TAMPINES LANE #02-176,New Sale,Strata,45,"13,844",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528460,18,52,East Region,Tampines
TREASURE AT TAMPINES,"1,058,000",818.06,"1,293",02 Jun 2019,35 TAMPINES LANE #11-110,New Sale,Strata,76,"13,921",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528468,18,52,East Region,Tampines
THE WOODLEIGH RESIDENCES,"1,313,000",688.9,"1,906",02 Jun 2019,19 BIDADARI PARK DRIVE #10-15,New Sale,Strata,64,"20,516",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367794,13,36,Central Region,Toa Payoh
PARC ESTA,"742,000",419.8,"1,768",02 Jun 2019,914 SIMS AVENUE #03-66,New Sale,Strata,39,"19,026",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408973,14,40,Central Region,Geylang
PARC KOMO,"735,000",473.62,"1,552",02 Jun 2019,963B UPPER CHANGI ROAD NORTH #05-72,New Sale,Strata,44,"16,705",-,Apartment,1,Freehold,Uncompleted,Private,506789,17,50,East Region,Pasir Ris
MAYFAIR GARDENS,"1,500,000",861.12,"1,742",02 Jun 2019,10 RIFLE RANGE ROAD #05-19,New Sale,Strata,80,"18,750",-,Condominium,1,99 yrs from 26/09/2018,Uncompleted,HDB,588377,21,58,Central Region,Bukit Timah
THE WOODLEIGH RESIDENCES,"1,323,000",688.9,"1,920",02 Jun 2019,19 BIDADARI PARK DRIVE #11-15,New Sale,Strata,64,"20,672",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,Private,367794,13,36,Central Region,Toa Payoh
STIRLING RESIDENCES,"1,379,000",764.24,"1,804",02 Jun 2019,23 STIRLING ROAD #19-17,New Sale,Strata,71,"19,423",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
THE WOODLEIGH RESIDENCES,"1,329,000",699.66,"1,899",02 Jun 2019,25 BIDADARI PARK DRIVE #09-42,New Sale,Strata,65,"20,446",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367797,13,36,Central Region,Toa Payoh
THE FLORENCE RESIDENCES,"1,423,000",990.29,"1,437",02 Jun 2019,81 HOUGANG AVENUE 2 #11-07,New Sale,Strata,92,"15,467",-,Apartment,1,99 yrs from 24/12/2018,Uncompleted,N.A,538859,19,53,North East Region,Hougang
THE TRE VER,"1,610,000","1,011.82","1,591",02 Jun 2019,68 POTONG PASIR AVENUE 1 #10-38,New Sale,Strata,94,"17,128",-,Condominium,1,99 yrs from 27/03/2018,Uncompleted,HDB,358395,13,35,Central Region,Toa Payoh
PARC KOMO,"1,511,000","1,022.58","1,478",02 Jun 2019,959 UPPER CHANGI ROAD NORTH #02-61,New Sale,Strata,95,"15,905",-,Apartment,1,Freehold,Uncompleted,Private,506787,17,50,East Region,Pasir Ris
TREASURE AT TAMPINES,"1,198,000",914.94,"1,309",02 Jun 2019,7 TAMPINES LANE #10-30,New Sale,Strata,85,"14,094",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528487,18,52,East Region,Tampines
THE GARDEN RESIDENCES,"792,500",516.67,"1,534",02 Jun 2019,1 SERANGOON NORTH VIEW #07-07,New Sale,Strata,48,"16,510",-,Apartment,1,99 yrs from 30/10/2017,Uncompleted,HDB,554343,19,55,North East Region,Serangoon
REGENCY SUITES,"2,400,000","1,420.85","1,689",03 Jun 2019,36 KIM TIAN ROAD #12-01,Resale,Strata,132,"18,182",-,Apartment,1,Freehold,2008,Private,169279,03,16,Central Region,Bukit Merah
BELYSA,"975,000","1,108.69",879,03 Jun 2019,59 PASIR RIS DRIVE 1 #15-15,Resale,Strata,103,"9,466",-,Executive Condominium,1,99 yrs from 24/01/2011,2014,Private,519532,18,51,East Region,Pasir Ris
MERA TERRACE,"2,500,000","1,614.6","1,548",03 Jun 2019,229 SEAGULL WALK,Resale,Land,150,"16,667",-,Terrace House,1,Freehold,1996,HDB,486644,16,48,East Region,Tampines
THE MILTONIA RESIDENCES,"818,000",861.12,950,03 Jun 2019,522 MILTONIA CLOSE #04-12,Resale,Strata,80,"10,225",-,Condominium,1,99 yrs from 30/11/2010,2014,Private,768105,27,76,North Region,Yishun
TANGLIN VIEW,"1,655,000","1,248.62","1,325",03 Jun 2019,156 PRINCE CHARLES CRESCENT #06-15,Resale,Strata,116,"14,267",-,Condominium,1,99 yrs from 17/05/1997,2001,HDB,159015,03,15,Central Region,Bukit Merah
SERANGOON GARDEN ESTATE,"3,550,000","1,839.57","1,930",03 Jun 2019,74 CARISBROOKE GROVE,Resale,Land,170.9,"20,772",-,Terrace House,1,999 yrs from 01/01/1956,-,Private,558851,19,55,North East Region,Serangoon
THE LUXURIE,"1,155,000",968.76,"1,192",03 Jun 2019,15 COMPASSVALE ROAD #03-08,Resale,Strata,90,"12,833",-,Condominium,1,99 yrs from 15/06/2011,2015,HDB,544751,19,54,North East Region,Sengkang
N.A.,"1,728,000",884.8,"1,953",03 Jun 2019,33 JALAN CHEGAR,Resale,Land,82.2,"21,022",-,Terrace House,1,Freehold,-,Private,578491,20,57,Central Region,Bishan
KANDIS RESIDENCE,"1,212,700",936.47,"1,295",03 Jun 2019,6 KANDIS LINK #05-07,New Sale,Strata,87,"13,939",-,Condominium,1,99 yrs from 11/07/2016,Uncompleted,HDB,756969,27,75,North Region,Sembawang
STIRLING RESIDENCES,"1,731,000",979.52,"1,767",03 Jun 2019,23 STIRLING ROAD #16-21,New Sale,Strata,91,"19,022",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,Private,148961,03,14,Central Region,Queenstown
THE CLEARWATER,"1,268,000","1,334.74",950,03 Jun 2019,12 BEDOK RESERVOIR VIEW #09-38,Resale,Strata,124,"10,226",-,Condominium,1,99 yrs from 18/07/1997,2001,Private,479237,16,47,East Region,Bedok
TREASURE AT TAMPINES,"949,000",678.13,"1,399",03 Jun 2019,5 TAMPINES LANE #04-16,New Sale,Strata,63,"15,063",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,HDB,528485,18,52,East Region,Tampines
PARC BOTANNIA,"1,137,000",871.88,"1,304",03 Jun 2019,12 FERNVALE STREET #13-16,New Sale,Strata,81,"14,037",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,HDB,797391,28,79,North East Region,Sengkang
STRATUM,"1,070,000","1,097.93",975,03 Jun 2019,80 ELIAS ROAD #03-02,Resale,Strata,102,"10,490",-,Condominium,1,99 yrs from 11/07/2012,2016,HDB,519945,18,51,East Region,Pasir Ris
N.A.,"2,280,000","1,878.32","1,214",03 Jun 2019,17Q JALAN HOCK CHYE,Resale,Land,174.5,"13,066",-,Terrace House,1,Freehold,1985,Private,538206,19,53,North East Region,Hougang
AMBER PARK,"1,873,530",699.66,"2,678",03 Jun 2019,18 AMBER GARDENS #21-19,New Sale,Strata,65,"28,824",-,Condominium,1,Freehold,Uncompleted,Private,439980,15,43,Central Region,Marine Parade
TREASURE AT TAMPINES,"895,000",678.13,"1,320",03 Jun 2019,15 TAMPINES LANE #02-55,New Sale,Strata,63,"14,206",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,Private,528478,18,52,East Region,Tampines
CARIBBEAN AT KEPPEL BAY,"1,928,000","1,280.92","1,505",03 Jun 2019,8 KEPPEL BAY DRIVE #04-08,Resale,Strata,119,"16,202",-,Condominium,1,99 yrs from 16/08/1999,2004,Private,098639,04,09,Central Region,Bukit Merah
HEDGES PARK CONDOMINIUM,"768,000",764.24,"1,005",03 Jun 2019,83 FLORA DRIVE #07-41,Resale,Strata,71,"10,817",-,Condominium,1,99 yrs from 28/07/2010,2015,HDB,506887,17,50,East Region,Pasir Ris
STUDIO 3,"955,000",548.96,"1,740",03 Jun 2019,28 SHANGHAI ROAD #09-04,Resale,Strata,51,"18,725",-,Apartment,1,Freehold,2005,Private,248196,10,24,Central Region,Tanglin
PARC ESTA,"940,000",516.67,"1,819",03 Jun 2019,916 SIMS AVENUE #11-76,New Sale,Strata,48,"19,583",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,HDB,408974,14,40,Central Region,Geylang
HARBOURLIGHTS,"1,350,000",882.65,"1,529",03 Jun 2019,66 TELOK BLANGAH ROAD #07-07,Resale,Strata,82,"16,463",-,Apartment,1,Freehold,1997,HDB,098830,04,09,Central Region,Bukit Merah
CASA JERVOIS,"2,080,000","1,227.1","1,695",03 Jun 2019,99 JERVOIS ROAD #03-07,Resale,Strata,114,"18,246",-,Apartment,1,Freehold,-,N.A,249055,10,24,Central Region,Tanglin
UBER 388,"1,300,000",925.7,"1,404",03 Jun 2019,388 UPPER EAST COAST ROAD #03-08,Resale,Strata,86,"15,116",-,Condominium,1,Freehold,2014,Private,466477,16,46,East Region,Bedok
PARBURY HILL CONDOMINIUM,"1,890,000","1,474.67","1,282",03 Jun 2019,30 PARBURY AVENUE #04-03,Resale,Strata,137,"13,796",-,Condominium,1,Freehold,1997,Private,467299,16,46,East Region,Bedok
N.A.,"17,000,000","10,163.37","1,673",03 Jun 2019,45 ORIOLE CRESCENT,Resale,Land,944.2,"18,005",-,Detached House,1,Freehold,2002,Private,288636,11,28,Central Region,Bukit Timah
YISHUN EMERALD,"835,000","1,205.57",693,03 Jun 2019,32 CANBERRA DRIVE #03-28,Resale,Strata,112,"7,455",-,Condominium,1,99 yrs from 16/02/1998,2002,HDB,768431,27,76,North Region,Yishun
THE BELLEFORTE,"1,950,000","1,991.34",979,03 Jun 2019,6 AH HOOD ROAD #19-04,Resale,Strata,185,"10,541",-,Apartment,1,Freehold,2003,Private,329974,12,32,Central Region,Novena
THE WOODLEIGH RESIDENCES,"1,023,000",570.49,"1,793",03 Jun 2019,21 BIDADARI PARK DRIVE #06-29,New Sale,Strata,53,"19,302",-,Apartment,1,99 yrs from 18/09/2017,Uncompleted,HDB,367795,13,36,Central Region,Toa Payoh
N.A.,"2,950,000","2,182.94","1,351",03 Jun 2019,22 CLOVER WAY,Resale,Land,202.8,"14,546",-,Terrace House,1,Freehold,-,Private,579091,20,57,Central Region,Bishan
THE CREEK @ BUKIT,"1,730,000",925.7,"1,869",03 Jun 2019,15A TOH TUCK ROAD #02-34,Resale,Strata,86,"20,116",-,Condominium,1,Freehold,2017,HDB,596199,21,59,Central Region,Bukit Timah
SUMMERDALE,"855,000","1,194.8",716,03 Jun 2019,6 BOON LAY DRIVE #07-10,Resale,Strata,111,"7,703",-,Executive Condominium,1,99 yrs from 22/09/1997,2000,Private,649927,22,64,West Region,Jurong West
PARC ESTA,"1,518,000","1,022.58","1,484",03 Jun 2019,912 SIMS AVENUE #18-60,New Sale,Strata,95,"15,979",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,Private,408972,14,40,Central Region,Geylang
THE CANOPY,"1,225,000","1,410.08",869,03 Jun 2019,79 YISHUN AVENUE 11 #07-21,Resale,Strata,131,"9,351",-,Executive Condominium,1,99 yrs from 14/06/2010,2014,Private,768862,27,76,North Region,Yishun
OLEANDER TOWERS,"1,368,000","1,151.75","1,188",03 Jun 2019,911 LORONG 1 TOA PAYOH #25-03,Resale,Strata,107,"12,785",-,Apartment,1,99 yrs from 01/03/1995,1997,Private,319771,12,31,Central Region,Toa Payoh
PARC BOTANNIA,"1,160,000",871.88,"1,330",03 Jun 2019,12 FERNVALE STREET #17-16,New Sale,Strata,81,"14,321",-,Condominium,1,99 yrs from 28/12/2016,Uncompleted,Private,797391,28,79,North East Region,Sengkang
HILLSTA,"717,500",635.08,"1,130",03 Jun 2019,68 PHOENIX ROAD #12-12,Resale,Strata,59,"12,161",-,Condominium,1,99 yrs from 03/10/2011,2016,HDB,668202,23,66,West Region,Bukit Batok
THE MINTON,"1,350,000","1,216.33","1,110",03 Jun 2019,6B HOUGANG STREET 11 #04-18,Resale,Strata,113,"11,947",-,Condominium,1,99 yrs from 27/07/2007,2013,Private,534083,19,53,North East Region,Hougang
SUITES @ PAYA LEBAR,"590,000",409.03,"1,442",03 Jun 2019,420 UPPER PAYA LEBAR ROAD #02-16,Resale,Strata,38,"15,526",-,Apartment,1,Freehold,2013,HDB,534049,19,53,North East Region,Hougang
HILLTOPS,"3,760,000","1,334.74","2,817",03 Jun 2019,101 CAIRNHILL CIRCLE #02-10,Resale,Strata,124,"30,323",-,Condominium,1,Freehold,2011,Private,229809,09,22,Central Region,Newton
DUNSFOLD 18,"2,800,000","4,251.78",659,03 Jun 2019,45A DUNSFOLD DRIVE,Resale,Strata,395,"7,089",-,Detached House,1,Freehold,2009,Private,359416,13,35,North East Region,Serangoon
WATERMARK ROBERTSON QUAY,"2,100,000","1,076.4","1,951",03 Jun 2019,1 RODYK STREET #04-06,Resale,Strata,100,"21,000",-,Apartment,1,Freehold,2008,Private,238212,09,23,Central Region,Singapore River
SANCTUARY GREEN,"2,700,000","2,486.48","1,086",03 Jun 2019,181 TANJONG RHU ROAD #14-09,Resale,Strata,231,"11,688",-,Condominium,1,99 yrs from 17/03/1997,2004,Private,436922,15,43,Central Region,Kallang
N.A.,"2,318,000","2,849.23",814,03 Jun 2019,47 WAK HASSAN DRIVE,Resale,Land,264.7,"8,757",-,Semi-Detached House,1,99 yrs from 21/07/2008,2009,HDB,757383,27,75,North Region,Sembawang
CLEMENTI PARK,"1,420,000","1,345.5","1,055",03 Jun 2019,137 SUNSET WAY #04-19,Resale,Strata,125,"11,360",-,Condominium,1,Freehold,1986,Private,597159,21,59,West Region,Clementi
MARINE VILLE,"1,755,000","1,205.57","1,456",03 Jun 2019,161 MARINE PARADE #04-01,Resale,Strata,112,"15,670",-,Apartment,1,Freehold,2004,Private,449527,15,44,Central Region,Marine Parade
