Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
THE VISIONAIRE,"811,500",979.52,828,01 Jan 2017,190 CANBERRA DRIVE #08-42,New Sale,Strata,91,"8,918",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,N.A,767957,27,76,North Region,Sembawang
NASSIM PARK RESIDENCES,"21,000,000","6,953.54","3,020",01 Jan 2017,19 NASSIM ROAD #05-13,Resale,Strata,646,"32,508",-,Condominium,1,Freehold,2011,Private,258461,10,25,Central Region,Tanglin
FLORAVIEW,"1,091,600","1,054.87","1,035",01 Jan 2017,1 ANG MO KIO STREET 66 #04-04,New Sale,Strata,98,"11,139",-,Apartment,1,Freehold,Uncompleted,Private,567705,20,56,North East Region,Ang Mo Kio
THE VISIONAIRE,"1,090,500","1,453.14",750,01 Jan 2017,170 CANBERRA DRIVE #01-03,New Sale,Strata,135,"8,078",-,Executive Condominium,1,99 yrs from 09/01/2015,2018,HDB,768002,27,76,North Region,Sembawang
RIVERTREES RESIDENCES,"1,035,100","1,087.16",952,01 Jan 2017,23 FERNVALE CLOSE #20-07,New Sale,Strata,101,"10,249",-,Apartment,1,99 yrs from 28/08/2013,Uncompleted,Private,797461,28,79,North East Region,Sengkang
LAKE GRANDE,"1,141,000",861.12,"1,325",01 Jan 2017,8 JURONG LAKE LINK #13-29,New Sale,Strata,80,"14,263",-,Condominium,1,99 yrs from 09/06/2015,Uncompleted,Private,648130,22,64,West Region,Jurong West
SOL ACRES,"700,000",871.88,803,01 Jan 2017,10 CHOA CHU KANG GROVE #10-24,New Sale,Strata,81,"8,642",-,Executive Condominium,1,99 yrs from 02/06/2014,2018,HDB,688207,23,68,West Region,Choa Chu Kang
THE SPRINGSIDE,"2,758,000","1,763.14","1,564",01 Jan 2017,68 SPRINGSIDE VIEW,New Sale,Land,163.8,"16,838",-,Terrace House,1,Freehold,2016,Private,786122,26,78,North Region,Yishun
THE VISIONAIRE,"790,000",979.52,807,01 Jan 2017,178 CANBERRA DRIVE #05-17,New Sale,Strata,91,"8,681",-,Executive Condominium,1,99 yrs from 09/01/2015,Uncompleted,Private,767951,27,76,North Region,Sembawang
FLORAVIEW,"1,061,600","1,001.05","1,060",02 Jan 2017,1 ANG MO KIO STREET 66 #04-05,New Sale,Strata,93,"11,415",-,Apartment,1,Freehold,Uncompleted,HDB,567705,20,56,North East Region,Ang Mo Kio
THE TERRACE,"791,200","1,076.4",735,02 Jan 2017,98 EDGEDALE PLAINS #02-40,New Sale,Strata,100,"7,912",-,Executive Condominium,1,99 yrs from 30/10/2013,2017,HDB,828689,19,82,North East Region,Punggol
V ON SHENTON,"2,730,000","1,528.49","1,786",02 Jan 2017,5A SHENTON WAY #12-18,New Sale,Strata,142,"19,225",-,Apartment,1,99 yrs from 29/11/2011,Uncompleted,Private,068814,01,06,Central Region,Downtown Core
WESTWOOD RESIDENCES,"717,000",947.23,757,02 Jan 2017,180 WESTWOOD AVENUE #13-01,New Sale,Strata,88,"8,148",-,Executive Condominium,1,99 yrs from 14/04/2014,Uncompleted,N.A,648145,22,64,West Region,Jurong West
PRINCIPAL GARDEN,"1,289,000",796.54,"1,618",02 Jan 2017,93 PRINCE CHARLES CRESCENT #06-08,New Sale,Strata,74,"17,419",-,Condominium,1,99 yrs from 21/07/2014,Uncompleted,Private,159026,03,15,Central Region,Bukit Merah
QUEENS PEAK,"1,166,000",775.01,"1,505",02 Jan 2017,3 DUNDEE ROAD #08-14,New Sale,Strata,72,"16,194",-,Condominium,1,99 yrs from 28/09/2015,Uncompleted,HDB,149457,03,14,Central Region,Queenstown
WESTWOOD RESIDENCES,"999,000","1,280.92",780,02 Jan 2017,188 WESTWOOD AVENUE #01-18,New Sale,Strata,119,"8,395",-,Executive Condominium,1,99 yrs from 14/04/2014,Uncompleted,N.A,648149,22,64,West Region,Jurong West
NORTHWAVE,"842,250","1,097.93",767,02 Jan 2017,111 WOODLANDS VIEW #10-21,New Sale,Strata,102,"8,257",-,Executive Condominium,1,99 yrs from 25/05/2015,Uncompleted,HDB,737703,25,73,North Region,Woodlands
QUEENS PEAK,"978,000",624.31,"1,567",02 Jan 2017,1 DUNDEE ROAD #10-12,New Sale,Strata,58,"16,862",-,Condominium,1,99 yrs from 28/09/2015,Uncompleted,Private,149456,03,14,Central Region,Queenstown
FOREST WOODS,"1,760,000","1,248.62","1,410",02 Jan 2017,17 LORONG LEW LIAN #09-34,New Sale,Strata,116,"15,172",-,Condominium,1,99 yrs from 05/02/2016,Uncompleted,HDB,533852,19,53,North East Region,Serangoon
THE TERRACE,"770,600","1,001.05",770,02 Jan 2017,98 EDGEDALE PLAINS #08-39,New Sale,Strata,93,"8,286",-,Executive Condominium,1,99 yrs from 30/10/2013,Uncompleted,HDB,828689,19,82,North East Region,Punggol
