Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Address,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Completion Date,Purchaser Address Indicator,Postal Code,Postal District,Postal Sector,Planning Region,Planning Area
DAINTREE RESIDENCE,"1,336,180",775.01,"1,724",03 Apr 2020,11A TOH TUCK ROAD #05-02,New Sale,Strata,72,"18,558",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,Private,596157,21,59,Central Region,Bukit Timah
DAINTREE RESIDENCE,"1,291,030",775.01,"1,666",03 Apr 2020,11C TOH TUCK ROAD #01-17,New Sale,Strata,72,"17,931",-,Condominium,1,99 yrs from 17/07/2017,Uncompleted,Private,596159,21,59,Central Region,Bukit Timah
N.A.,"4,000,000","4,807.2",832,03 Apr 2020,16 SENNETT ROAD,Resale,Land,446.6,"8,957",-,Semi-Detached House,1,Freehold,-,Private,466794,16,46,East Region,Bedok
ATTITUDE AT KIM YAM,"1,200,000",688.9,"1,742",03 Apr 2020,1 KIM YAM ROAD #10-02,Resale,Strata,64,"18,750",-,Apartment,1,999 yrs from 01/07/1841,2011,HDB,239319,09,23,Central Region,River Valley
HIGH PARK RESIDENCES,"825,000",667.37,"1,236",03 Apr 2020,27 FERNVALE ROAD #10-25,Resale,Strata,62,"13,306",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797415,28,79,North East Region,Sengkang
THE TAPESTRY,"1,334,070","1,097.93","1,215",03 Apr 2020,57 TAMPINES STREET 86 #15-26,New Sale,Strata,102,"13,079",-,Condominium,1,99 yrs from 31/07/2017,Uncompleted,N.A,528542,18,52,East Region,Tampines
SOUTH BEACH RESIDENCES,"3,758,880","1,216.33","3,090",03 Apr 2020,28 BEACH ROAD #35-02,Resale,Strata,113,"33,264",-,Apartment,1,99 yrs from 10/12/2007,2016,Private,189762,07,18,Central Region,Downtown Core
TREASURE AT TAMPINES,"702,000",462.85,"1,517",03 Apr 2020,25 TAMPINES LANE #12-82,New Sale,Strata,43,"16,326",-,Condominium,1,99 yrs from 29/11/2018,Uncompleted,N.A,528473,18,52,East Region,Tampines
ONE PEARL BANK,"1,180,000",430.56,"2,741",03 Apr 2020,1 PEARL BANK #37-13,New Sale,Strata,40,"29,500",-,Apartment,1,99 yrs from 01/03/2019,Uncompleted,Private,169016,03,16,Central Region,Outram
COSTA RHU,"1,128,000",990.29,"1,139",03 Apr 2020,3 RHU CROSS #02-05,Resale,Strata,92,"12,261",-,Condominium,1,99 yrs from 30/05/1994,1997,Private,437433,15,43,Central Region,Kallang
HUME PARK I,"968,000",904.18,"1,071",03 Apr 2020,1 HUME AVENUE #02-05,Resale,Strata,84,"11,524",-,Condominium,1,Freehold,1995,Private,598718,21,59,West Region,Bukit Batok
HIGH PARK RESIDENCES,"590,000",452.09,"1,305",03 Apr 2020,31 FERNVALE ROAD #08-44,Resale,Strata,42,"14,048",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797417,28,79,North East Region,Sengkang
THE RAINFOREST,"1,100,000","1,151.75",955,03 Apr 2020,339 CHOA CHU KANG AVENUE 3 #09-18,Resale,Strata,107,"10,280",-,Executive Condominium,1,99 yrs from 28/06/2011,2015,HDB,689873,23,68,West Region,Choa Chu Kang
HIGH PARK RESIDENCES,"1,160,000","1,130.22","1,026",03 Apr 2020,31 FERNVALE ROAD #25-57,Resale,Strata,105,"11,048",-,Apartment,1,99 yrs from 05/11/2014,2019,HDB,797417,28,79,North East Region,Sengkang
PARC ESTA,"1,276,000",742.72,"1,718",03 Apr 2020,902 SIMS AVENUE #13-11,New Sale,Strata,69,"18,493",-,Apartment,1,99 yrs from 12/07/2018,Uncompleted,N.A,408967,14,40,Central Region,Geylang
THE M,"1,785,100",613.55,"2,909",03 Apr 2020,38 MIDDLE ROAD #18-46,New Sale,Strata,57,"31,318",-,Apartment,1,99 yrs from 03/07/2019,Uncompleted,Private,188947,07,18,Central Region,Downtown Core
ARTRA,"1,691,100",785.77,"2,152",03 Apr 2020,10 ALEXANDRA VIEW #42-05,New Sale,Strata,73,"23,166",-,Apartment,1,99 yrs from 15/02/2016,Uncompleted,Private,158745,03,15,Central Region,Bukit Merah
GILLENIA,"1,120,000","1,097.93","1,020",03 Apr 2020,35 ROSYTH ROAD #03-04,Resale,Strata,102,"10,980",-,Apartment,1,999 yrs from 01/01/1886,2009,HDB,546195,19,54,North East Region,Hougang
PATERSON RESIDENCE,"3,550,000","1,657.66","2,142",03 Apr 2020,83 PATERSON ROAD #21-03,Resale,Strata,154,"23,052",-,Condominium,1,Freehold,2008,N.A,238549,09,23,Central Region,River Valley
KOPAR AT NEWTON,"2,068,000",958,"2,159",04 Apr 2020,6 MAKEWAY AVENUE #05-06,New Sale,Strata,89,"23,236",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,098,000",958,"2,190",04 Apr 2020,6 MAKEWAY AVENUE #07-06,New Sale,Strata,89,"23,573",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,462,000",688.9,"2,122",04 Apr 2020,6 MAKEWAY AVENUE #04-08,New Sale,Strata,64,"22,844",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,540,000",688.9,"2,235",04 Apr 2020,6 MAKEWAY AVENUE #08-08,New Sale,Strata,64,"24,063",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,459,000",613.55,"2,378",04 Apr 2020,8 MAKEWAY AVENUE #09-09,New Sale,Strata,57,"25,596",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
STIRLING RESIDENCES,"940,000",505.91,"1,858",04 Apr 2020,23 STIRLING ROAD #03-13,New Sale,Strata,47,"20,000",-,Apartment,1,99 yrs from 18/08/2017,Uncompleted,HDB,148961,03,14,Central Region,Queenstown
RIVERFRONT RESIDENCES,"1,190,000",871.88,"1,365",04 Apr 2020,51 HOUGANG AVENUE 7 #14-49,New Sale,Strata,81,"14,691",-,Apartment,1,99 yrs from 31/05/2018,Uncompleted,HDB,533818,19,53,North East Region,Hougang
KOPAR AT NEWTON,"1,471,000",688.9,"2,135",04 Apr 2020,6 MAKEWAY AVENUE #05-03,New Sale,Strata,64,"22,984",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,483,000",688.9,"2,153",04 Apr 2020,6 MAKEWAY AVENUE #06-03,New Sale,Strata,64,"23,172",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,382,000",613.55,"2,252",04 Apr 2020,8 MAKEWAY AVENUE #05-09,New Sale,Strata,57,"24,246",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,098,000",516.67,"2,125",04 Apr 2020,6 MAKEWAY AVENUE #02-04,New Sale,Strata,48,"22,875",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,450,000",613.55,"2,363",04 Apr 2020,8 MAKEWAY AVENUE #02-12,New Sale,Strata,57,"25,439",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228607,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,168,000",516.67,"2,261",04 Apr 2020,6 MAKEWAY AVENUE #05-04,New Sale,Strata,48,"24,333",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,Private,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"2,008,000",958,"2,096",04 Apr 2020,6 MAKEWAY AVENUE #02-06,New Sale,Strata,89,"22,562",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,HDB,228606,09,22,Central Region,Novena
KOPAR AT NEWTON,"1,178,000",516.67,"2,280",04 Apr 2020,6 MAKEWAY AVENUE #06-04,New Sale,Strata,48,"24,542",-,Apartment,1,99 yrs from 22/04/2019,Uncompleted,N.A,228606,09,22,Central Region,Novena
OLA,"1,126,000","1,054.87","1,067",04 Apr 2020,86 ANCHORVALE CRESCENT #03-35,New Sale,Strata,98,"11,490",-,Executive Condominium,1,99 yrs from 14/12/2018,Uncompleted,N.A,544561,19,54,North East Region,Sengkang
